,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_P,pct_P_P,votos_P_I_P,pct_P_I_P,votos_P_E_R,pct_P_E_R,total
43,Luquillo,"1,758",41.2,"1,922",45.1,476,11.2,95,2.2,14,0.3,"4,265"
44,Manatí,"5,168",43.9,"4,731",40.2,"1,436",12.2,359,3.0,88,0.7,"11,782"
45,Maricao,625,28.4,906,41.1,622,28.2,39,1.8,11,0.5,"2,203"
46,Maunabo,812,22.4,"1,690",46.7,"1,038",28.7,70,1.9,9,0.2,"3,619"
47,Mayagüez,"11,812",38.1,"12,670",40.9,"5,306",17.1,958,3.1,244,0.8,"30,990"
48,Moca,"3,412",47.3,"3,331",46.2,355,4.9,90,1.2,20,0.3,"7,208"
49,Morovis,"2,505",36.4,"3,444",50.0,761,11.0,80,1.2,98,1.4,"6,888"
50,Naguabo,"3,199",45.1,"2,868",40.4,881,12.4,99,1.4,47,0.7,"7,094"
51,Naranjito,"2,531",33.8,"4,246",56.6,591,7.9,122,1.6,9,0.1,"7,499"
52,Orocovis,"3,210",46.1,"3,443",49.4,190,2.7,95,1.4,30,0.4,"6,968"
53,Patillas,"2,531",41.6,"2,689",44.2,736,12.1,110,1.8,23,0.4,"6,089"
54,Peñuelas,"2,446",42.4,"2,182",37.9,802,13.9,292,5.1,42,0.7,"5,764"
55,Ponce,"29,369",54.0,"18,235",33.5,"4,901",9.0,"1,740",3.2,192,0.4,"54,437"
56,Quebradillas,"2,012",39.6,"2,451",48.3,341,6.7,241,4.7,30,0.6,"5,075"
57,Rincón,"1,089",30.6,"1,959",55.0,422,11.8,62,1.7,30,0.8,"3,562"
58,Río Grande,"3,653",46.4,"3,375",42.8,650,8.2,176,2.2,27,0.3,"7,881"
59,Sabana Grande,"1,618",24.1,"4,521",67.3,461,6.9,98,1.5,21,0.3,"6,719"
60,Salinas,"2,489",31.5,"4,155",52.6,"1,054",13.3,177,2.2,28,0.4,"7,903"
61,San Germán,"3,261",32.9,"4,471",45.1,"1,762",17.8,357,3.6,64,0.6,"9,915"
62,San Juan,"91,897",51.7,"59,028",33.2,"16,569",9.3,"9,310",5.2,896,0.5,"177,700"
63,San Lorenzo,"5,160",48.6,"4,923",46.4,264,2.5,233,2.2,40,0.4,"10,620"
64,San Sebastián,"3,769",33.7,"5,104",45.6,"1,438",12.8,852,7.6,36,0.3,"11,199"
65,Santa Isabel,"2,420",44.6,"2,219",40.9,637,11.7,152,2.8,4,0.1,"5,432"
66,Toa Alta,"2,403",40.0,"3,027",50.4,406,6.8,137,2.3,28,0.5,"6,001"
67,Toa Baja,"4,316",43.4,"4,070",40.9,"1,253",12.6,285,2.9,31,0.3,"9,955"
68,Trujillo Alto,"3,607",41.6,"3,175",36.6,"1,501",17.3,369,4.3,17,0.2,"8,669"
69,Utuado,"5,099",43.0,"4,903",41.4,"1,413",11.9,382,3.2,52,0.4,"11,849"
70,Vega Alta,"2,580",35.3,"3,197",43.7,"1,207",16.5,248,3.4,85,1.2,"7,317"
71,Vega Baja,"5,054",42.5,"5,015",42.2,"1,357",11.4,415,3.5,54,0.5,"11,895"
72,Vieques,970,31.1,"1,242",39.8,827,26.5,80,2.6,4,0.1,"3,123"
73,Villalba,"2,563",45.6,"2,520",44.8,477,8.5,51,0.9,11,0.2,"5,622"
74,Yabucoa,"4,067",39.2,"5,048",48.6,"1,105",10.6,127,1.2,36,0.3,"10,383"
75,Yauco,"4,630",40.3,"5,131",44.6,"1,342",11.7,354,3.1,41,0.4,"11,498"
76,"Total,Puerto Rico","400,815",43.6,"374,040",40.7,"107,359",11.7,"32,166",3.5,"4,449",0.5,"918,829"
