,municipios,votos_Partido_Popular_Democrático,pct_Partido_Popular_Democrático,votos_Partido_Estadista_Puertorriqueño,pct_Partido_Estadista_Puertorriqueño,votos_Partido_Socialista,pct_Partido_Socialista,votos_Partido_Reformista_Puertorriqueño,pct_Partido_Reformista_Puertorriqueño,votos_Total_Combinado,pct_Total_Combinado,votos_Partido_Independentista_Puertorriqueño,pct_Partido_Independentista_Puertorriqueño,total
33,Humacao,"8,013",68.1,350,3.0,886,7.5,"2,184",18.6,"3,420",29.1,330,2.8,"11,763"
34,Isabela,"6,158",58.3,"3,407",32.3,282,2.7,108,1.0,"3,797",35.9,607,5.7,"10,562"
35,Jayuya,"2,846",67.3,153,3.6,697,16.5,36,0.9,886,21.0,495,11.7,"4,227"
36,Juana Díaz,"6,140",65.8,"1,906",20.4,671,7.2,161,1.7,"2,738",29.3,454,4.9,"9,332"
37,Juncos,"3,606",48.3,234,3.1,"2,471",33.1,897,12.0,"3,602",48.2,258,3.5,"7,466"
38,Lajas,"3,740",76.6,517,10.6,125,2.6,138,2.8,780,16.0,364,7.5,"4,884"
39,Lares,"4,714",61.0,"1,074",13.9,861,11.1,209,2.7,"2,144",27.7,874,11.3,"7,732"
40,Las Marías,"2,118",82.5,143,5.6,115,4.5,21,0.8,279,10.9,169,6.6,"2,566"
41,Las Piedras,"2,855",56.5,172,3.4,"1,702",33.7,178,3.5,"2,052",40.6,145,2.9,"5,052"
42,Loíza,"3,983",51.1,75,1.0,"2,958",37.9,133,1.7,"3,166",40.6,651,8.3,"7,800"
43,Luquillo,"2,077",67.0,38,1.2,766,24.7,45,1.5,849,27.4,175,5.6,"3,101"
44,Manatí,"7,196",67.2,"2,426",22.7,513,4.8,74,0.7,"3,013",28.2,494,4.6,"10,703"
45,Maricao,"1,483",75.5,161,8.2,65,3.3,35,1.8,261,13.3,219,11.2,"1,963"
46,Maunabo,"2,516",73.5,43,1.3,103,3.0,39,1.1,185,5.4,723,21.1,"3,424"
47,Mayagüez,"14,799",59.4,"4,695",18.8,435,1.7,983,3.9,"6,113",24.5,"4,019",16.1,"24,931"
48,Moca,"3,516",60.9,958,16.6,875,15.2,88,1.5,"1,921",33.3,338,5.9,"5,775"
49,Morovis,"3,919",58.0,"2,515",37.2,139,2.1,32,0.5,"2,686",39.7,153,2.3,"6,758"
50,Naguabo,"4,023",61.0,366,5.6,"1,757",26.7,122,1.9,"2,245",34.1,322,4.9,"6,590"
51,Naranjito,"3,501",69.2,589,11.6,298,5.9,230,4.5,"1,117",22.1,440,8.7,"5,058"
52,Orocovis,"3,323",60.4,"1,976",35.9,66,1.2,52,0.9,"2,094",38.0,89,1.6,"5,506"
53,Patillas,"3,685",61.0,81,1.3,"1,345",22.2,183,3.0,"1,609",26.6,751,12.4,"6,045"
54,Peñuelas,"3,115",54.9,"2,037",35.9,220,3.9,102,1.8,"2,359",41.6,196,3.5,"5,670"
55,Ponce,"19,752",61.5,"6,798",21.1,"1,259",3.9,"1,115",3.5,"9,172",28.5,"3,219",10.0,"32,143"
56,Quebradillas,"2,599",57.4,304,6.7,41,0.9,39,0.9,384,8.5,"1,546",34.1,"4,529"
57,Rincón,"2,215",82.8,72,2.7,92,3.4,41,1.5,205,7.7,254,9.5,"2,674"
58,Río Grande,"3,496",63.7,91,1.7,"1,545",28.1,82,1.5,"1,718",31.3,275,5.0,"5,489"
59,Río Piedras,"13,361",52.8,"4,663",18.4,"1,203",4.8,"1,520",6.0,"7,386",29.2,"4,537",17.9,"25,284"
60,Sabana Grande,"3,807",64.4,933,15.8,567,9.6,382,6.5,"1,882",31.8,222,3.8,"5,911"
61,Salinas,"6,457",80.3,518,6.4,218,2.7,227,2.8,963,12.0,624,7.8,"8,044"
62,San Germán,"6,530",65.6,"1,216",12.2,485,4.9,701,7.0,"2,402",24.1,"1,029",10.3,"9,961"
63,San Juan,"31,506",50.3,"13,501",21.6,"3,052",4.9,"5,216",8.3,"21,769",34.8,"9,329",14.9,"62,604"
64,San Lorenzo,"3,209",38.2,902,10.7,"1,870",22.2,"2,243",26.7,"5,015",59.6,186,2.2,"8,410"
65,San Sebastián,"6,654",65.2,556,5.4,"1,364",13.4,108,1.1,"2,028",19.9,"1,520",14.9,"10,202"
66,Santa Isabel,"3,131",71.7,470,10.8,109,2.5,262,6.0,841,19.3,392,9.0,"4,364"
67,Toa Alta,"3,169",67.9,879,18.8,121,2.6,161,3.4,"1,161",24.9,337,7.2,"4,667"
68,Toa Baja,"2,804",63.8,771,17.6,124,2.8,100,2.3,995,22.6,594,13.5,"4,393"
69,Trujillo Alto,"2,607",63.9,327,8.0,46,1.1,143,3.5,516,12.6,959,23.5,"4,082"
70,Utuado,"7,451",66.4,635,5.7,785,7.0,602,5.4,"2,022",18.0,"1,748",15.6,"11,221"
71,Vega Alta,"3,147",59.7,181,3.4,"1,497",28.4,63,1.2,"1,741",33.0,383,7.3,"5,271"
72,Vega Baja,"5,856",65.7,285,3.2,"1,830",20.5,117,1.3,"2,232",25.0,831,9.3,"8,919"
73,Vieques,"1,885",57.4,105,3.2,994,30.2,40,1.2,"1,139",34.7,262,8.0,"3,286"
74,Villalba,"3,463",75.9,651,14.3,278,6.1,44,1.0,973,21.3,127,2.8,"4,563"
75,Yabucoa,"7,330",71.6,80,0.8,"2,376",23.2,221,2.2,"2,677",26.1,235,2.3,"10,242"
76,Yauco,"6,583",61.1,"1,684",15.6,886,8.2,134,1.2,"2,704",25.1,"1,493",13.8,"10,780"
77,"Total,Puerto Rico","392,386",61.2,"89,441",14.0,"64,396",10.1,"29,140",4.5,"182,977",28.6,"65,351",10.2,"640,714"
