,municipios,votos_P_P_D,pct_P_P_D,votos_P_N_P,pct_P_N_P,votos_P_I_P,pct_P_I_P,votos_P_P,pct_P_P,votos_P_U_P,pct_P_U_P,votos_P_A_S,pct_P_A_S,total
46,Manatí,"8,375",50.2,"7,346",44.0,891,5.3,35,0.2,45,0.3,4,0.0,"16,696"
47,Maricao,"1,612",53.9,"1,280",42.8,90,3.0,4,0.1,4,0.1,2,0.1,"2,992"
48,Maunabo,"2,467",48.9,"1,944",38.6,524,10.4,38,0.8,65,1.3,3,0.1,"5,041"
49,Mayagüez,"22,460",54.3,"16,646",40.2,"2,099",5.1,76,0.2,72,0.2,11,0.0,"41,364"
50,Moca,"5,056",48.6,"4,916",47.2,422,4.1,7,0.1,4,0.0,0,0.0,"10,405"
51,Morovis,"5,063",54.6,"3,811",41.1,337,3.6,51,0.5,13,0.1,3,0.0,"9,278"
52,Naguabo,"5,153",53.6,"4,238",44.1,191,2.0,18,0.2,6,0.1,3,0.0,"9,609"
53,Naranjito,"6,515",61.5,"3,642",34.4,391,3.7,14,0.1,31,0.3,0,0.0,"10,593"
54,Orocovis,"4,531",49.3,"4,330",47.1,315,3.4,11,0.1,4,0.0,2,0.0,"9,193"
55,Patillas,"4,426",53.2,"3,421",41.1,422,5.1,47,0.6,6,0.1,4,0.0,"8,326"
56,Peñuelas,"4,020",50.5,"3,286",41.3,558,7.0,80,1.0,9,0.1,2,0.0,"7,955"
57,Ponce,"32,225",45.9,"34,531",49.2,"3,057",4.4,78,0.1,314,0.4,37,0.1,"70,242"
58,Quebradillas,"4,204",54.5,"3,064",39.8,426,5.5,7,0.1,6,0.1,1,0.0,"7,708"
59,Rincón,"2,939",60.0,"1,699",34.7,228,4.7,28,0.6,2,0.0,0,0.0,"4,896"
60,Río Grande,"5,686",52.2,"4,634",42.6,529,4.9,16,0.1,17,0.2,2,0.0,"10,884"
61,Sabana Grande,"6,173",67.6,"2,634",28.9,287,3.1,20,0.2,10,0.1,1,0.0,"9,125"
62,Salinas,"6,307",60.4,"3,641",34.9,461,4.4,14,0.1,9,0.1,15,0.1,"10,447"
63,San Germán,"7,767",57.7,"5,061",37.6,554,4.1,62,0.5,12,0.1,3,0.0,"13,459"
64,San Juan,"103,856",44.6,"113,987",48.9,"13,554",5.8,392,0.2,"1,133",0.5,139,0.1,"233,061"
65,San Lorenzo,"6,768",49.2,"6,568",47.8,380,2.8,14,0.1,16,0.1,1,0.0,"13,747"
66,San Sebastián,"7,919",51.9,"5,686",37.2,"1,633",10.7,19,0.1,11,0.1,1,0.0,"15,269"
67,Santa Isabel,"3,698",49.4,"3,320",44.4,441,5.9,10,0.1,13,0.2,2,0.0,"7,484"
68,Toa Alta,"4,630",54.3,"3,419",40.1,436,5.1,31,0.4,8,0.1,1,0.0,"8,525"
69,Toa Baja,"10,173",52.1,"7,810",40.0,"1,368",7.0,125,0.6,39,0.2,12,0.1,"19,527"
70,Trujillo Alto,"6,767",50.2,"5,603",41.6,863,6.4,185,1.4,61,0.5,5,0.0,"13,484"
71,Utuado,"8,142",51.7,"6,631",42.1,879,5.6,97,0.6,3,0.0,3,0.0,"15,755"
72,Vega Alta,"5,641",54.3,"3,928",37.8,628,6.0,150,1.4,42,0.4,8,0.1,"10,397"
73,Vega Baja,"8,907",51.6,"7,123",41.2,"1,132",6.6,101,0.6,12,0.1,1,0.0,"17,276"
74,Vieques,"1,933",50.3,"1,659",43.2,169,4.4,79,2.1,2,0.1,0,0.0,"3,842"
75,Villalba,"4,196",51.2,"3,754",45.8,218,2.7,15,0.2,5,0.1,1,0.0,"8,189"
76,Yabucoa,"7,599",52.6,"6,084",42.1,734,5.1,22,0.2,7,0.0,2,0.0,"14,448"
77,Yauco,"8,470",53.5,"6,497",41.0,795,5.0,53,0.3,21,0.1,6,0.0,"15,842"
78,"Total,Puerto Rico","658,856",50.7,"563,609",43.4,"69,654",5.4,"4,007",0.3,"3,291",0.3,467,0.0,"1,299,884"
