,municipios,votos_P_P_D,pct_P_P_D,votos_P_E_R,pct_P_E_R,votos_P_A_C,pct_P_A_C,votos_P_I_P,pct_P_I_P,total
29,Guaynabo,"7,093",52.4,"5,857",43.3,231,1.7,345,2.6,"13,526"
30,Gurabo,"4,973",76.5,"1,349",20.8,42,0.6,133,2.0,"6,497"
31,Hatillo,"4,841",65.9,"2,161",29.4,127,1.7,218,3.0,"7,347"
32,Hormigueros,"2,098",68.6,820,26.8,24,0.8,117,3.8,"3,059"
33,Humacao,"8,764",70.9,"3,097",25.1,274,2.2,219,1.8,"12,354"
34,Isabela,"6,502",63.4,"3,419",33.3,118,1.1,222,2.2,"10,261"
35,Jayuya,"2,578",57.0,"1,652",36.5,169,3.7,123,2.7,"4,522"
36,Juana Díaz,"5,781",58.7,"3,781",38.4,136,1.4,157,1.6,"9,855"
37,Juncos,"5,268",63.7,"2,774",33.5,45,0.5,189,2.3,"8,276"
38,Lajas,"3,850",73.3,"1,258",23.9,25,0.5,122,2.3,"5,255"
39,Lares,"5,217",63.8,"2,559",31.3,110,1.3,290,3.5,"8,176"
40,Las Marías,"2,387",80.6,514,17.4,9,0.3,50,1.7,"2,960"
41,Las Piedras,"3,698",58.8,"2,405",38.2,118,1.9,67,1.1,"6,288"
42,Loíza,"6,972",68.5,"2,764",27.2,36,0.4,402,4.0,"10,174"
43,Luquillo,"2,595",67.2,"1,183",30.6,15,0.4,69,1.8,"3,862"
44,Manatí,"6,673",57.6,"4,581",39.5,135,1.2,204,1.8,"11,593"
45,Maricao,"1,481",71.1,554,26.6,5,0.2,44,2.1,"2,084"
46,Maunabo,"2,541",72.4,632,18.0,210,6.0,126,3.6,"3,509"
47,Mayagüez,"18,309",62.6,"9,550",32.7,402,1.4,984,3.4,"29,245"
48,Moca,"3,681",53.3,"2,853",41.3,278,4.0,89,1.3,"6,901"
49,Morovis,"4,094",60.3,"2,256",33.2,381,5.6,61,0.9,"6,792"
50,Naguabo,"3,755",55.3,"2,886",42.5,93,1.4,57,0.8,"6,791"
51,Naranjito,"4,748",70.4,"1,469",21.8,455,6.7,76,1.1,"6,748"
52,Orocovis,"3,849",57.1,"2,557",38.0,277,4.1,53,0.8,"6,736"
53,Patillas,"3,516",61.0,"1,633",28.3,408,7.1,210,3.6,"5,767"
54,Peñuelas,"3,044",55.2,"2,183",39.6,74,1.3,213,3.9,"5,514"
55,Ponce,"25,155",52.4,"20,205",42.1,"1,392",2.9,"1,274",2.7,"48,026"
56,Quebradillas,"2,717",54.8,846,17.1,"1,241",25.0,151,3.0,"4,955"
57,Rincón,"2,313",70.0,699,21.1,216,6.5,78,2.4,"3,306"
58,Río Grande,"4,084",61.7,"2,340",35.3,33,0.5,163,2.5,"6,620"
59,Sabana Grande,"4,804",76.0,"1,336",21.1,103,1.6,79,1.2,"6,322"
60,Salinas,"5,632",74.1,"1,685",22.2,76,1.0,211,2.8,"7,604"
61,San Germán,"6,467",66.5,"2,784",28.6,249,2.6,219,2.3,"9,719"
62,San Juan,"86,734",52.7,"68,768",41.8,"2,869",1.7,"6,196",3.8,"164,567"
63,San Lorenzo,"4,886",47.2,"4,511",43.5,835,8.1,128,1.2,"10,360"
64,San Sebastián,"6,589",62.2,"3,136",29.6,141,1.3,721,6.8,"10,587"
65,Santa Isabel,"3,029",62.9,"1,578",32.8,66,1.4,143,3.0,"4,816"
66,Toa Alta,"3,257",60.6,"1,958",36.4,74,1.4,84,1.6,"5,373"
67,Toa Baja,"4,646",67.5,"2,058",29.9,63,0.9,118,1.7,"6,885"
68,Trujillo Alto,"4,263",59.9,"2,433",34.2,137,1.9,283,4.0,"7,116"
69,Utuado,"6,858",57.3,"4,421",37.0,290,2.4,395,3.3,"11,964"
70,Vega Alta,"4,018",62.1,"2,118",32.7,111,1.7,227,3.5,"6,474"
71,Vega Baja,"6,652",60.3,"3,494",31.7,559,5.1,319,2.9,"11,024"
72,Vieques,"2,049",72.5,638,22.6,9,0.3,129,4.6,"2,825"
73,Villalba,"3,288",60.8,"1,704",31.5,368,6.8,48,0.9,"5,408"
74,Yabucoa,"6,859",65.1,"2,717",25.8,831,7.9,128,1.2,"10,535"
75,Yauco,"7,098",64.7,"3,321",30.3,287,2.6,261,2.4,"10,967"
76,"Total,Puerto Rico","492,531",59.2,"288,504",34.7,"27,076",3.3,"23,340",2.8,"831,451"
