,municipios,votos_Partido_Popular_Democrático,pct_Partido_Popular_Democrático,votos_Partido_Independentista_Puertorriqueño,pct_Partido_Independentista_Puertorriqueño,votos_Partido_Estadista_Puertorriqueño,pct_Partido_Estadista_Puertorriqueño,votos_Partido_Socialista_Puertorriqueño,pct_Partido_Socialista_Puertorriqueño,total
36,Juana Díaz,"5,507",64.2,649,7.6,"2,231",26.0,185,2.2,"8,572"
37,Juncos,"4,773",64.9,965,13.1,126,1.7,"1,486",20.2,"7,350"
38,Lajas,"3,500",73.7,254,5.4,943,19.9,49,1.0,"4,746"
39,Lares,"5,223",67.4,"1,834",23.7,536,6.9,153,2.0,"7,746"
40,Las Marías,"2,176",80.6,363,13.4,119,4.4,42,1.6,"2,700"
41,Las Piedras,"3,436",70.6,422,8.7,116,2.4,896,18.4,"4,870"
42,Loíza,"5,289",63.8,"2,567",31.0,61,0.7,368,4.4,"8,285"
43,Luquillo,"2,745",83.6,453,13.8,25,0.8,62,1.9,"3,285"
44,Manatí,"7,056",68.3,"1,458",14.1,"1,461",14.1,358,3.5,"10,333"
45,Maricao,"1,401",73.5,333,17.5,162,8.5,10,0.5,"1,906"
46,Maunabo,"2,609",78.0,684,20.5,25,0.7,26,0.8,"3,344"
47,Mayagüez,"15,715",61.1,"4,518",17.6,"5,380",20.9,97,0.4,"25,710"
48,Moca,"4,268",65.9,"1,492",23.0,567,8.8,149,2.3,"6,476"
49,Morovis,"4,080",70.0,413,7.1,"1,292",22.2,41,0.7,"5,826"
50,Naguabo,"4,248",71.2,"1,229",20.6,295,4.9,195,3.3,"5,967"
51,Naranjito,"3,706",74.8,597,12.0,600,12.1,52,1.0,"4,955"
52,Orocovis,"3,492",61.3,165,2.9,"2,021",35.5,19,0.3,"5,697"
53,Patillas,"4,034",70.2,"1,520",26.4,93,1.6,100,1.7,"5,747"
54,Peñuelas,"3,054",58.3,265,5.1,"1,870",35.7,52,1.0,"5,241"
55,Ponce,"19,753",58.1,"3,338",9.8,"10,720",31.5,190,0.6,"34,001"
56,Quebradillas,"2,717",58.6,"1,667",36.0,226,4.9,24,0.5,"4,634"
57,Rincón,"1,925",69.3,219,7.9,610,22.0,23,0.8,"2,777"
58,Río Grande,"3,569",68.2,"1,332",25.5,65,1.2,265,5.1,"5,231"
59,Sabana Grande,"4,399",77.7,327,5.8,855,15.1,77,1.4,"5,658"
60,Salinas,"4,758",81.9,638,11.0,344,5.9,66,1.1,"5,806"
61,San Germán,"6,619",70.0,737,7.8,"2,026",21.4,68,0.7,"9,450"
62,San Juan,"60,908",54.8,"35,361",31.8,"13,527",12.2,"1,351",1.2,"111,147"
63,San Lorenzo,"3,882",51.3,511,6.8,"1,285",17.0,"1,882",24.9,"7,560"
64,San Sebastián,"6,872",63.2,"3,412",31.4,441,4.1,143,1.3,"10,868"
65,Santa Isabel,"3,166",77.2,456,11.1,436,10.6,41,1.0,"4,099"
66,Toa Alta,"3,315",76.5,504,11.6,474,10.9,42,1.0,"4,335"
67,Toa Baja,"3,326",68.6,739,15.2,732,15.1,53,1.1,"4,850"
68,Trujillo Alto,"2,897",65.7,"1,345",30.5,150,3.4,18,0.4,"4,410"
69,Utuado,"7,739",68.0,"2,543",22.3,673,5.9,427,3.8,"11,382"
70,Vega Alta,"3,762",72.4,829,16.0,147,2.8,457,8.8,"5,195"
71,Vega Baja,"6,700",74.2,"1,517",16.8,183,2.0,625,6.9,"9,025"
72,Vieques,"1,938",70.0,574,20.7,59,2.1,198,7.2,"2,769"
73,Villalba,"3,424",72.6,98,2.1,"1,183",25.1,14,0.3,"4,719"
74,Yabucoa,"7,894",80.0,"1,408",14.3,84,0.9,482,4.9,"9,868"
75,Yauco,"6,623",65.9,"1,963",19.5,"1,260",12.5,201,2.0,"10,047"
76,"Total,Puerto Rico","431,409",64.9,"126,228",19.0,"85,591",12.9,"21,719",3.3,"664,947"
