,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_I_P,pct_P_I_P,votos_Otros,pct_Otros,votos_Blanco,pct_Blanco,votos_Nulo,pct_Nulo,total
16,Cataño,"8,748",54.3,"6,664",41.3,606,3.8,8,0.0,42,0.3,53,0.3,"16,121"
17,Cayey,"12,772",49.0,"11,923",45.8,"1,162",4.5,19,0.1,82,0.3,92,0.4,"26,050"
18,Ceiba,"3,906",54.4,"3,051",42.5,176,2.5,3,0.0,18,0.3,20,0.3,"7,174"
19,Ciales,"6,292",54.4,"4,969",43.0,268,2.3,0,0.0,25,0.2,9,0.1,"11,563"
20,Cidra,"11,346",54.5,"8,260",39.7,"1,092",5.2,4,0.0,72,0.3,55,0.3,"20,829"
21,Coamo,"10,288",51.2,"9,350",46.5,381,1.9,2,0.0,58,0.3,33,0.2,"20,112"
22,Comerío,"6,176",50.2,"5,668",46.0,402,3.3,3,0.0,35,0.3,29,0.2,"12,313"
23,Corozal,"11,065",53.4,"9,091",43.9,497,2.4,5,0.0,33,0.2,41,0.2,"20,732"
24,Culebra,490,45.5,534,49.6,50,4.6,1,0.1,0,0.0,2,0.2,"1,077"
25,Dorado,"8,021",43.9,"9,351",51.2,814,4.5,6,0.0,39,0.2,39,0.2,"18,270"
26,Fajardo,"10,594",55.7,"7,604",40.0,701,3.7,12,0.1,51,0.3,45,0.2,"19,007"
27,Florida,"3,051",52.3,"2,527",43.3,226,3.9,1,0.0,15,0.3,11,0.2,"5,831"
28,Guánica,"5,727",50.2,"5,273",46.2,369,3.2,3,0.0,25,0.2,19,0.2,"11,416"
29,Guayama,"10,832",50.7,"9,609",44.9,802,3.8,6,0.0,69,0.3,66,0.3,"21,384"
30,Guayanilla,"5,921",46.7,"6,127",48.3,568,4.5,0,0.0,32,0.3,35,0.3,"12,683"
31,Guaynabo,"27,667",55.7,"19,458",39.2,"2,357",4.7,30,0.1,93,0.2,84,0.2,"49,689"
32,Gurabo,"9,245",52.0,"7,812",44.0,620,3.5,4,0.0,44,0.2,49,0.3,"17,774"
33,Hatillo,"10,766",51.0,"9,747",46.2,501,2.4,2,0.0,53,0.3,43,0.2,"21,112"
34,Hormigueros,"4,490",45.0,"4,954",49.7,448,4.5,9,0.1,42,0.4,26,0.3,"9,969"
35,Humacao,"13,979",46.5,"14,911",49.6,"1,039",3.5,10,0.0,57,0.2,64,0.2,"30,060"
36,Isabela,"12,736",50.3,"11,765",46.4,691,2.7,19,0.1,82,0.3,49,0.2,"25,342"
37,Jayuya,"5,019",50.3,"4,610",46.2,288,2.9,2,0.0,21,0.2,31,0.3,"9,971"
38,Juana Díaz,"13,000",51.5,"11,546",45.8,549,2.2,4,0.0,78,0.3,49,0.2,"25,226"
39,Juncos,"9,658",53.5,"7,817",43.3,468,2.6,7,0.0,47,0.3,48,0.3,"18,045"
40,Lajas,"6,792",47.4,"6,847",47.8,445,3.1,52,0.4,127,0.9,65,0.5,"14,328"
41,Lares,"9,240",50.5,"8,361",45.7,623,3.4,3,0.0,32,0.2,49,0.3,"18,308"
42,Las Marías,"2,935",48.2,"2,995",49.2,130,2.1,1,0.0,15,0.2,14,0.2,"6,090"
43,Las Piedras,"9,984",55.7,"7,448",41.6,421,2.3,2,0.0,38,0.2,32,0.2,"17,925"
44,Loíza,"8,810",64.9,"4,321",31.8,354,2.6,1,0.0,48,0.4,45,0.3,"13,579"
45,Luquillo,"5,555",53.4,"4,469",43.0,316,3.0,4,0.0,27,0.3,23,0.2,"10,394"
46,Manatí,"13,477",55.4,"9,862",40.6,824,3.4,2,0.0,73,0.3,67,0.3,"24,305"
47,Maricao,"2,271",56.8,"1,661",41.5,48,1.2,1,0.0,15,0.4,4,0.1,"4,000"
48,Maunabo,"3,952",52.6,"3,171",42.2,338,4.5,2,0.0,26,0.3,28,0.4,"7,517"
49,Mayagüez,"24,568",46.0,"26,150",49.0,"2,360",4.4,30,0.1,138,0.3,163,0.3,"53,409"
50,Moca,"11,722",56.4,"8,556",41.2,407,2.0,8,0.0,56,0.3,39,0.2,"20,788"
51,Morovis,"7,986",49.6,"7,765",48.2,275,1.7,5,0.0,34,0.2,29,0.2,"16,094"
52,Naguabo,"7,067",53.3,"5,853",44.2,276,2.1,4,0.0,25,0.2,27,0.2,"13,252"
53,Naranjito,"7,381",42.3,"9,478",54.3,524,3.0,3,0.0,32,0.2,24,0.1,"17,442"
54,Orocovis,"7,338",51.9,"6,492",45.9,244,1.7,4,0.0,45,0.3,21,0.1,"14,144"
55,Patillas,"6,313",52.2,"5,306",43.9,398,3.3,3,0.0,42,0.3,28,0.2,"12,090"
56,Peñuelas,"6,844",49.6,"6,267",45.4,616,4.5,4,0.0,44,0.3,35,0.3,"13,810"
57,Ponce,"44,109",47.8,"43,697",47.3,"3,996",4.3,40,0.0,251,0.3,251,0.3,"92,344"
58,Quebradillas,"7,506",52.7,"6,191",43.5,453,3.2,7,0.0,42,0.3,36,0.3,"14,235"
59,Rincón,"4,167",48.7,"4,118",48.2,200,2.3,6,0.1,37,0.4,20,0.2,"8,548"
60,Río Grande,"13,556",56.0,"9,719",40.2,790,3.3,4,0.0,71,0.3,52,0.2,"24,192"
61,Sabana Grande,"5,963",41.4,"7,952",55.2,411,2.9,4,0.0,37,0.3,50,0.3,"14,417"
62,Salinas,"7,369",47.7,"7,581",49.0,418,2.7,1,0.0,50,0.3,38,0.2,"15,457"
63,San Germán,"10,447",49.6,"9,768",46.4,702,3.3,9,0.0,81,0.4,55,0.3,"21,062"
64,San Juan,"107,102",50.9,"91,113",43.3,"11,022",5.2,154,0.1,371,0.2,510,0.2,"210,272"
65,San Lorenzo,"11,983",55.1,"9,117",41.9,570,2.6,4,0.0,59,0.3,34,0.2,"21,767"
66,San Sebastián,"12,600",49.3,"11,617",45.5,"1,141",4.5,6,0.0,96,0.4,85,0.3,"25,545"
67,Santa Isabel,"5,457",48.2,"5,570",49.2,249,2.2,1,0.0,21,0.2,19,0.2,"11,317"
68,Toa Alta,"13,568",53.1,"10,777",42.2,"1,091",4.3,3,0.0,51,0.2,52,0.2,"25,542"
69,Toa Baja,"23,756",52.7,"19,118",42.4,"1,966",4.4,9,0.0,96,0.2,96,0.2,"45,041"
70,Trujillo Alto,"16,773",49.3,"15,146",44.5,"1,952",5.7,19,0.1,60,0.2,65,0.2,"34,015"
71,Utuado,"11,329",53.6,"9,206",43.6,474,2.2,6,0.0,54,0.3,50,0.2,"21,119"
72,Vega Alta,"10,002",50.0,"9,234",46.2,695,3.5,7,0.0,35,0.2,35,0.2,"20,008"
73,Vega Baja,"15,346",48.6,"14,991",47.4,"1,101",3.5,14,0.0,82,0.3,65,0.2,"31,599"
74,Vieques,"2,713",49.2,"2,512",45.6,241,4.4,2,0.0,24,0.4,17,0.3,"5,509"
75,Villalba,"7,985",55.8,"5,990",41.9,250,1.7,3,0.0,46,0.3,29,0.2,"14,303"
76,Yabucoa,"11,283",50.1,"10,502",46.7,581,2.6,5,0.0,61,0.3,71,0.3,"22,503"
77,Yauco,"11,930",49.2,"11,249",46.4,929,3.8,9,0.0,62,0.3,64,0.3,"24,243"
78,"Total,Puerto Rico","1,006,331",51.1,"875,852",44.5,"75,305",3.8,808,0.0,"4,887",0.2,"4,522",0.2,"1,967,705"
