,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_I_P,pct_P_I_P,votos_Otros,pct_Otros,total
57,Ponce,"42,151",47.1,"43,202",48.2,"4,184",4.7,25,0.0,"89,562"
58,Quebradillas,"6,285",48.2,"6,266",48.1,485,3.7,0,0.0,"13,036"
59,Rincón,"3,679",47.5,"3,822",49.3,212,2.7,38,0.5,"7,751"
60,Río Grande,"12,384",54.0,"9,712",42.3,842,3.7,9,0.0,"22,947"
61,Sabana Grande,"5,417",39.9,"7,805",57.5,354,2.6,8,0.1,"13,584"
62,Salinas,"6,733",45.5,"7,597",51.4,448,3.0,5,0.0,"14,783"
63,San Germán,"9,445",47.0,"9,868",49.1,792,3.9,7,0.0,"20,112"
64,San Juan,"105,810",50.5,"92,418",44.1,"11,340",5.4,64,0.0,"209,632"
65,San Lorenzo,"11,261",53.9,"9,018",43.2,613,2.9,2,0.0,"20,894"
66,San Sebastián,"10,890",46.7,"11,175",48.0,"1,224",5.3,8,0.0,"23,297"
67,Santa Isabel,"4,993",46.7,"5,380",50.3,328,3.1,2,0.0,"10,703"
68,Toa Alta,"11,522",52.4,"9,511",43.2,960,4.4,5,0.0,"21,998"
69,Toa Baja,"21,867",50.7,"19,004",44.1,"2,199",5.1,20,0.0,"43,090"
70,Trujillo Alto,"15,267",48.8,"14,128",45.1,"1,900",6.1,16,0.1,"31,311"
71,Utuado,"11,087",53.7,"8,993",43.6,555,2.7,3,0.0,"20,638"
72,Vega Alta,"9,065",48.8,"8,843",47.6,671,3.6,4,0.0,"18,583"
73,Vega Baja,"14,454",48.0,"14,574",48.4,"1,099",3.6,6,0.0,"30,133"
74,Vieques,"2,910",53.2,"2,265",41.4,296,5.4,1,0.0,"5,472"
75,Villalba,"7,118",53.6,"5,911",44.5,262,2.0,1,0.0,"13,292"
76,Yabucoa,"10,688",50.0,"10,055",47.0,646,3.0,6,0.0,"21,395"
77,Yauco,"10,770",47.0,"11,160",48.7,980,4.3,11,0.0,"22,921"
78,"Total,Puerto Rico","938,969",49.9,"862,989",45.9,"79,219",4.2,695,0.0,"1,881,872"
