municipios,year_data,partido,votos
Arecibo,1932,Partido_Socialista,6903
Arroyo,1932,Partido_Socialista,1014
Barceloneta,1932,Partido_Socialista,1449
Barranquitas,1932,Partido_Socialista,124
Bayamón,1932,Partido_Socialista,1407
Cabo Rojo,1932,Partido_Socialista,1705
Caguas,1932,Partido_Socialista,3360
Camuy,1932,Partido_Socialista,667
Carolina,1932,Partido_Socialista,1739
Cataño,1932,Partido_Socialista,462
Cayey,1932,Partido_Socialista,1978
Ceiba,1932,Partido_Socialista,989
Ciales,1932,Partido_Socialista,647
Cidra,1932,Partido_Socialista,270
Coamo,1932,Partido_Socialista,610
Comerío,1932,Partido_Socialista,530
Corozal,1932,Partido_Socialista,134
Culebra,1932,Partido_Socialista,64
Dorado,1932,Partido_Socialista,290
Fajardo,1932,Partido_Socialista,2443
Guánica,1932,Partido_Socialista,462
Guayama,1932,Partido_Socialista,3431
Guayanilla,1932,Partido_Socialista,684
Guaynabo,1932,Partido_Socialista,275
Gurabo,1932,Partido_Socialista,1447
Hatillo,1932,Partido_Socialista,1214
Hormigueros,1932,Partido_Socialista,676
Humacao,1932,Partido_Socialista,3056
Isabela,1932,Partido_Socialista,440
Jayuya,1932,Partido_Socialista,1036
Juana Díaz,1932,Partido_Socialista,1514
Juncos,1932,Partido_Socialista,1595
Lajas,1932,Partido_Socialista,1132
Lares,1932,Partido_Socialista,2211
Las Marías,1932,Partido_Socialista,729
Las Piedras,1932,Partido_Socialista,906
Loíza,1932,Partido_Socialista,1776
Luquillo,1932,Partido_Socialista,718
Manatí,1932,Partido_Socialista,988
Maricao,1932,Partido_Socialista,295
Maunabo,1932,Partido_Socialista,721
Mayagüez,1932,Partido_Socialista,1284
Moca,1932,Partido_Socialista,1020
Morovis,1932,Partido_Socialista,186
Naguabo,1932,Partido_Socialista,2094
Naranjito,1932,Partido_Socialista,209
Orocovis,1932,Partido_Socialista,167
Patillas,1932,Partido_Socialista,1357
Peñuelas,1932,Partido_Socialista,431
Ponce,1932,Partido_Socialista,4718
Quebradillas,1932,Partido_Socialista,59
Rincón,1932,Partido_Socialista,413
Río Grande,1932,Partido_Socialista,1696
Río Piedras,1932,Partido_Socialista,1930
Sabana Grande,1932,Partido_Socialista,484
Salinas,1932,Partido_Socialista,1906
San Germán,1932,Partido_Socialista,1260
San Juan,1932,Partido_Socialista,4927
San Lorenzo,1932,Partido_Socialista,1224
San Sebastián,1932,Partido_Socialista,1694
Santa Isabel,1932,Partido_Socialista,747
Toa Alta,1932,Partido_Socialista,500
Toa Baja,1932,Partido_Socialista,354
Trujillo Alto,1932,Partido_Socialista,17
Utuado,1932,Partido_Socialista,2821
Vega Alta,1932,Partido_Socialista,1231
Vega Baja,1932,Partido_Socialista,2116
Vieques,1932,Partido_Socialista,938
Villalba,1932,Partido_Socialista,326
Yabucoa,1932,Partido_Socialista,2204
Yauco,1932,Partido_Socialista,1263
Adjuntas,1936,Partido_Socialista,1648
Aguada,1936,Partido_Socialista,1995
Aguadilla,1936,Partido_Socialista,1862
Aguas Buenas,1936,Partido_Socialista,487
Aibonito,1936,Partido_Socialista,677
Añasco,1936,Partido_Socialista,2455
Arecibo,1936,Partido_Socialista,12036
Arroyo,1936,Partido_Socialista,1666
Barceloneta,1936,Partido_Socialista,2828
Barranquitas,1936,Partido_Socialista,170
Bayamón,1936,Partido_Socialista,1690
Cabo Rojo,1936,Partido_Socialista,2449
Caguas,1936,Partido_Socialista,3972
Camuy,1936,Partido_Socialista,1161
Carolina,1936,Partido_Socialista,1716
Cataño,1936,Partido_Socialista,503
Cayey,1936,Partido_Socialista,2395
Ceiba,1936,Partido_Socialista,1479
Ciales,1936,Partido_Socialista,1502
Cidra,1936,Partido_Socialista,332
Coamo,1936,Partido_Socialista,684
Comerío,1936,Partido_Socialista,1021
Corozal,1936,Partido_Socialista,261
Culebra,1936,Partido_Socialista,102
Dorado,1936,Partido_Socialista,302
Fajardo,1936,Partido_Socialista,3643
Guánica,1936,Partido_Socialista,314
Guayama,1936,Partido_Socialista,3514
Guayanilla,1936,Partido_Socialista,883
Guaynabo,1936,Partido_Socialista,455
Gurabo,1936,Partido_Socialista,2188
Hatillo,1936,Partido_Socialista,2216
Hormigueros,1936,Partido_Socialista,1252
Humacao,1936,Partido_Socialista,4011
Isabela,1936,Partido_Socialista,740
Jayuya,1936,Partido_Socialista,1731
Juana Díaz,1936,Partido_Socialista,2619
Juncos,1936,Partido_Socialista,2997
Lajas,1936,Partido_Socialista,1687
Lares,1936,Partido_Socialista,2817
Las Marías,1936,Partido_Socialista,977
Las Piedras,1936,Partido_Socialista,1639
Loíza,1936,Partido_Socialista,2501
Luquillo,1936,Partido_Socialista,1314
Manatí,1936,Partido_Socialista,2109
Maricao,1936,Partido_Socialista,615
Maunabo,1936,Partido_Socialista,1362
Mayagüez,1936,Partido_Socialista,2499
Moca,1936,Partido_Socialista,2012
Morovis,1936,Partido_Socialista,491
Naguabo,1936,Partido_Socialista,2676
Naranjito,1936,Partido_Socialista,459
Orocovis,1936,Partido_Socialista,364
Patillas,1936,Partido_Socialista,2314
Peñuelas,1936,Partido_Socialista,619
Ponce,1936,Partido_Socialista,5747
Quebradillas,1936,Partido_Socialista,303
Rincón,1936,Partido_Socialista,880
Río Grande,1936,Partido_Socialista,2315
Río Piedras,1936,Partido_Socialista,2300
Sabana Grande,1936,Partido_Socialista,909
Salinas,1936,Partido_Socialista,2297
San Germán,1936,Partido_Socialista,1397
San Juan,1936,Partido_Socialista,5862
San Lorenzo,1936,Partido_Socialista,2236
San Sebastián,1936,Partido_Socialista,2865
Santa Isabel,1936,Partido_Socialista,731
Toa Alta,1936,Partido_Socialista,595
Toa Baja,1936,Partido_Socialista,508
Trujillo Alto,1936,Partido_Socialista,220
Utuado,1936,Partido_Socialista,4159
Vega Alta,1936,Partido_Socialista,2094
Vega Baja,1936,Partido_Socialista,3421
Vieques,1936,Partido_Socialista,1662
Villalba,1936,Partido_Socialista,352
Yabucoa,1936,Partido_Socialista,3198
Yauco,1936,Partido_Socialista,1832
Adjuntas,1940,Partido_Socialista,1150
Aguada,1940,Partido_Socialista,1605
Aguadilla,1940,Partido_Socialista,919
Aguas Buenas,1940,Partido_Socialista,329
Aibonito,1940,Partido_Socialista,379
Añasco,1940,Partido_Socialista,2230
Arecibo,1940,Partido_Socialista,5165
Arroyo,1940,Partido_Socialista,1196
Barceloneta,1940,Partido_Socialista,1631
Barranquitas,1940,Partido_Socialista,72
Bayamón,1940,Partido_Socialista,1251
Cabo Rojo,1940,Partido_Socialista,586
Caguas,1940,Partido_Socialista,804
Camuy,1940,Partido_Socialista,1169
Carolina,1940,Partido_Socialista,1233
Cataño,1940,Partido_Socialista,147
Cayey,1940,Partido_Socialista,1160
Ceiba,1940,Partido_Socialista,785
Ciales,1940,Partido_Socialista,432
Cidra,1940,Partido_Socialista,251
Coamo,1940,Partido_Socialista,403
Comerío,1940,Partido_Socialista,534
Corozal,1940,Partido_Socialista,365
Culebra,1940,Partido_Socialista,106
Dorado,1940,Partido_Socialista,155
Fajardo,1940,Partido_Socialista,3188
Guánica,1940,Partido_Socialista,119
Guayama,1940,Partido_Socialista,1426
Guayanilla,1940,Partido_Socialista,437
Guaynabo,1940,Partido_Socialista,356
Gurabo,1940,Partido_Socialista,1002
Hatillo,1940,Partido_Socialista,1510
Hormigueros,1940,Partido_Socialista,1039
Humacao,1940,Partido_Socialista,1634
Isabela,1940,Partido_Socialista,732
Jayuya,1940,Partido_Socialista,1094
Juana Díaz,1940,Partido_Socialista,1808
Juncos,1940,Partido_Socialista,2525
Lajas,1940,Partido_Socialista,904
Lares,1940,Partido_Socialista,1326
Las Marías,1940,Partido_Socialista,630
Las Piedras,1940,Partido_Socialista,748
Loíza,1940,Partido_Socialista,2203
Luquillo,1940,Partido_Socialista,965
Manatí,1940,Partido_Socialista,991
Maricao,1940,Partido_Socialista,287
Maunabo,1940,Partido_Socialista,664
Mayagüez,1940,Partido_Socialista,903
Moca,1940,Partido_Socialista,1819
Morovis,1940,Partido_Socialista,250
Naguabo,1940,Partido_Socialista,1968
Naranjito,1940,Partido_Socialista,397
Orocovis,1940,Partido_Socialista,171
Patillas,1940,Partido_Socialista,1733
Peñuelas,1940,Partido_Socialista,337
Ponce,1940,Partido_Socialista,3041
Quebradillas,1940,Partido_Socialista,303
Rincón,1940,Partido_Socialista,816
Río Grande,1940,Partido_Socialista,1271
Río Piedras,1940,Partido_Socialista,1701
Sabana Grande,1940,Partido_Socialista,791
Salinas,1940,Partido_Socialista,834
San Germán,1940,Partido_Socialista,953
San Juan,1940,Partido_Socialista,3745
San Lorenzo,1940,Partido_Socialista,1946
San Sebastián,1940,Partido_Socialista,2436
Santa Isabel,1940,Partido_Socialista,235
Toa Alta,1940,Partido_Socialista,209
Toa Baja,1940,Partido_Socialista,383
Trujillo Alto,1940,Partido_Socialista,74
Utuado,1940,Partido_Socialista,859
Vega Alta,1940,Partido_Socialista,1898
Vega Baja,1940,Partido_Socialista,2897
Vieques,1940,Partido_Socialista,1432
Villalba,1940,Partido_Socialista,369
Yabucoa,1940,Partido_Socialista,2862
Yauco,1940,Partido_Socialista,1563
Adjuntas,1944,Partido_Socialista,690
Aguada,1944,Partido_Socialista,583
Aguadilla,1944,Partido_Socialista,606
Aguas Buenas,1944,Partido_Socialista,309
Aibonito,1944,Partido_Socialista,207
Añasco,1944,Partido_Socialista,1740
Arecibo,1944,Partido_Socialista,7272
Arroyo,1944,Partido_Socialista,568
Barceloneta,1944,Partido_Socialista,1209
Barranquitas,1944,Partido_Socialista,43
Bayamón,1944,Partido_Socialista,874
Cabo Rojo,1944,Partido_Socialista,278
Caguas,1944,Partido_Socialista,766
Camuy,1944,Partido_Socialista,977
Carolina,1944,Partido_Socialista,862
Cataño,1944,Partido_Socialista,178
Cayey,1944,Partido_Socialista,970
Ceiba,1944,Partido_Socialista,661
Ciales,1944,Partido_Socialista,659
Cidra,1944,Partido_Socialista,245
Coamo,1944,Partido_Socialista,255
Comerío,1944,Partido_Socialista,463
Corozal,1944,Partido_Socialista,353
Culebra,1944,Partido_Socialista,98
Dorado,1944,Partido_Socialista,104
Fajardo,1944,Partido_Socialista,2179
Guánica,1944,Partido_Socialista,96
Guayama,1944,Partido_Socialista,534
Guayanilla,1944,Partido_Socialista,163
Guaynabo,1944,Partido_Socialista,657
Gurabo,1944,Partido_Socialista,748
Hatillo,1944,Partido_Socialista,1220
Hormigueros,1944,Partido_Socialista,609
Humacao,1944,Partido_Socialista,718
Isabela,1944,Partido_Socialista,706
Jayuya,1944,Partido_Socialista,695
Juana Díaz,1944,Partido_Socialista,747
Juncos,1944,Partido_Socialista,1840
Lajas,1944,Partido_Socialista,150
Lares,1944,Partido_Socialista,1038
Las Marías,1944,Partido_Socialista,270
Las Piedras,1944,Partido_Socialista,1146
Loíza,1944,Partido_Socialista,2053
Luquillo,1944,Partido_Socialista,430
Manatí,1944,Partido_Socialista,1026
Maricao,1944,Partido_Socialista,114
Maunabo,1944,Partido_Socialista,364
Mayagüez,1944,Partido_Socialista,749
Moca,1944,Partido_Socialista,1271
Morovis,1944,Partido_Socialista,170
Naguabo,1944,Partido_Socialista,1299
Naranjito,1944,Partido_Socialista,405
Orocovis,1944,Partido_Socialista,119
Patillas,1944,Partido_Socialista,1499
Peñuelas,1944,Partido_Socialista,258
Ponce,1944,Partido_Socialista,1622
Quebradillas,1944,Partido_Socialista,194
Rincón,1944,Partido_Socialista,211
Río Grande,1944,Partido_Socialista,910
Río Piedras,1944,Partido_Socialista,1597
Sabana Grande,1944,Partido_Socialista,563
Salinas,1944,Partido_Socialista,349
San Germán,1944,Partido_Socialista,599
San Juan,1944,Partido_Socialista,4083
San Lorenzo,1944,Partido_Socialista,1605
San Sebastián,1944,Partido_Socialista,2508
Santa Isabel,1944,Partido_Socialista,112
Toa Alta,1944,Partido_Socialista,166
Toa Baja,1944,Partido_Socialista,166
Trujillo Alto,1944,Partido_Socialista,175
Utuado,1944,Partido_Socialista,1117
Vega Alta,1944,Partido_Socialista,1533
Vega Baja,1944,Partido_Socialista,1840
Vieques,1944,Partido_Socialista,1166
Villalba,1944,Partido_Socialista,209
Yabucoa,1944,Partido_Socialista,2202
Yauco,1944,Partido_Socialista,937
Adjuntas,1932,Partido_Liberal_Puertorriqueño,2113
Aguada,1932,Partido_Liberal_Puertorriqueño,1525
Aguadilla,1932,Partido_Liberal_Puertorriqueño,2531
Aguas Buenas,1932,Partido_Liberal_Puertorriqueño,934
Aibonito,1932,Partido_Liberal_Puertorriqueño,1562
Añasco,1932,Partido_Liberal_Puertorriqueño,1509
Arecibo,1932,Partido_Liberal_Puertorriqueño,7639
Arroyo,1932,Partido_Liberal_Puertorriqueño,1178
Barceloneta,1932,Partido_Liberal_Puertorriqueño,1949
Barranquitas,1932,Partido_Liberal_Puertorriqueño,2230
Bayamón,1932,Partido_Liberal_Puertorriqueño,2476
Cabo Rojo,1932,Partido_Liberal_Puertorriqueño,2696
Caguas,1932,Partido_Liberal_Puertorriqueño,6146
Camuy,1932,Partido_Liberal_Puertorriqueño,1685
Carolina,1932,Partido_Liberal_Puertorriqueño,1949
Cataño,1932,Partido_Liberal_Puertorriqueño,754
Cayey,1932,Partido_Liberal_Puertorriqueño,3230
Ceiba,1932,Partido_Liberal_Puertorriqueño,526
Ciales,1932,Partido_Liberal_Puertorriqueño,1930
Cidra,1932,Partido_Liberal_Puertorriqueño,1689
Coamo,1932,Partido_Liberal_Puertorriqueño,1249
Comerío,1932,Partido_Liberal_Puertorriqueño,2143
Corozal,1932,Partido_Liberal_Puertorriqueño,1887
Culebra,1932,Partido_Liberal_Puertorriqueño,150
Dorado,1932,Partido_Liberal_Puertorriqueño,330
Fajardo,1932,Partido_Liberal_Puertorriqueño,1959
Guánica,1932,Partido_Liberal_Puertorriqueño,206
Guayama,1932,Partido_Liberal_Puertorriqueño,2933
Guayanilla,1932,Partido_Liberal_Puertorriqueño,2046
Guaynabo,1932,Partido_Liberal_Puertorriqueño,1103
Gurabo,1932,Partido_Liberal_Puertorriqueño,1630
Hatillo,1932,Partido_Liberal_Puertorriqueño,1865
Hormigueros,1932,Partido_Liberal_Puertorriqueño,616
Humacao,1932,Partido_Liberal_Puertorriqueño,3172
Isabela,1932,Partido_Liberal_Puertorriqueño,2115
Jayuya,1932,Partido_Liberal_Puertorriqueño,1525
Juana Díaz,1932,Partido_Liberal_Puertorriqueño,1628
Juncos,1932,Partido_Liberal_Puertorriqueño,2587
Lajas,1932,Partido_Liberal_Puertorriqueño,926
Lares,1932,Partido_Liberal_Puertorriqueño,2917
Las Marías,1932,Partido_Liberal_Puertorriqueño,488
Las Piedras,1932,Partido_Liberal_Puertorriqueño,858
Loíza,1932,Partido_Liberal_Puertorriqueño,2097
Luquillo,1932,Partido_Liberal_Puertorriqueño,710
Manatí,1932,Partido_Liberal_Puertorriqueño,3273
Maricao,1932,Partido_Liberal_Puertorriqueño,444
Maunabo,1932,Partido_Liberal_Puertorriqueño,907
Mayagüez,1932,Partido_Liberal_Puertorriqueño,7635
Moca,1932,Partido_Liberal_Puertorriqueño,1008
Morovis,1932,Partido_Liberal_Puertorriqueño,1868
Naguabo,1932,Partido_Liberal_Puertorriqueño,1298
Naranjito,1932,Partido_Liberal_Puertorriqueño,1436
Orocovis,1932,Partido_Liberal_Puertorriqueño,624
Patillas,1932,Partido_Liberal_Puertorriqueño,1319
Peñuelas,1932,Partido_Liberal_Puertorriqueño,1143
Ponce,1932,Partido_Liberal_Puertorriqueño,11313
Quebradillas,1932,Partido_Liberal_Puertorriqueño,1390
Rincón,1932,Partido_Liberal_Puertorriqueño,732
Río Grande,1932,Partido_Liberal_Puertorriqueño,1262
Río Piedras,1932,Partido_Liberal_Puertorriqueño,5247
Sabana Grande,1932,Partido_Liberal_Puertorriqueño,1355
Salinas,1932,Partido_Liberal_Puertorriqueño,1688
San Germán,1932,Partido_Liberal_Puertorriqueño,2859
San Juan,1932,Partido_Liberal_Puertorriqueño,15302
San Lorenzo,1932,Partido_Liberal_Puertorriqueño,2438
San Sebastián,1932,Partido_Liberal_Puertorriqueño,3093
Santa Isabel,1932,Partido_Liberal_Puertorriqueño,1258
Toa Alta,1932,Partido_Liberal_Puertorriqueño,1158
Toa Baja,1932,Partido_Liberal_Puertorriqueño,716
Trujillo Alto,1932,Partido_Liberal_Puertorriqueño,1174
Utuado,1932,Partido_Liberal_Puertorriqueño,3315
Vega Alta,1932,Partido_Liberal_Puertorriqueño,1441
Vega Baja,1932,Partido_Liberal_Puertorriqueño,2640
Vieques,1932,Partido_Liberal_Puertorriqueño,1383
Villalba,1932,Partido_Liberal_Puertorriqueño,1002
Yabucoa,1932,Partido_Liberal_Puertorriqueño,2044
Yauco,1932,Partido_Liberal_Puertorriqueño,3012
Adjuntas,1936,Partido_Liberal_Puertorriqueño,3523
Aguada,1936,Partido_Liberal_Puertorriqueño,2157
Aguadilla,1936,Partido_Liberal_Puertorriqueño,3259
Aguas Buenas,1936,Partido_Liberal_Puertorriqueño,1889
Aibonito,1936,Partido_Liberal_Puertorriqueño,2429
Añasco,1936,Partido_Liberal_Puertorriqueño,2274
Arecibo,1936,Partido_Liberal_Puertorriqueño,10143
Arroyo,1936,Partido_Liberal_Puertorriqueño,1867
Barceloneta,1936,Partido_Liberal_Puertorriqueño,2466
Barranquitas,1936,Partido_Liberal_Puertorriqueño,3526
Bayamón,1936,Partido_Liberal_Puertorriqueño,2729
Cabo Rojo,1936,Partido_Liberal_Puertorriqueño,4324
Caguas,1936,Partido_Liberal_Puertorriqueño,8080
Camuy,1936,Partido_Liberal_Puertorriqueño,2910
Carolina,1936,Partido_Liberal_Puertorriqueño,2675
Cataño,1936,Partido_Liberal_Puertorriqueño,971
Cayey,1936,Partido_Liberal_Puertorriqueño,4657
Ceiba,1936,Partido_Liberal_Puertorriqueño,857
Ciales,1936,Partido_Liberal_Puertorriqueño,2898
Cidra,1936,Partido_Liberal_Puertorriqueño,2427
Coamo,1936,Partido_Liberal_Puertorriqueño,1902
Comerío,1936,Partido_Liberal_Puertorriqueño,3388
Corozal,1936,Partido_Liberal_Puertorriqueño,2497
Culebra,1936,Partido_Liberal_Puertorriqueño,218
Dorado,1936,Partido_Liberal_Puertorriqueño,688
Fajardo,1936,Partido_Liberal_Puertorriqueño,2957
Guánica,1936,Partido_Liberal_Puertorriqueño,626
Guayama,1936,Partido_Liberal_Puertorriqueño,5149
Guayanilla,1936,Partido_Liberal_Puertorriqueño,4128
Guaynabo,1936,Partido_Liberal_Puertorriqueño,1593
Gurabo,1936,Partido_Liberal_Puertorriqueño,2461
Hatillo,1936,Partido_Liberal_Puertorriqueño,2902
Hormigueros,1936,Partido_Liberal_Puertorriqueño,901
Humacao,1936,Partido_Liberal_Puertorriqueño,5112
Isabela,1936,Partido_Liberal_Puertorriqueño,3065
Jayuya,1936,Partido_Liberal_Puertorriqueño,2071
Juana Díaz,1936,Partido_Liberal_Puertorriqueño,2364
Juncos,1936,Partido_Liberal_Puertorriqueño,3251
Lajas,1936,Partido_Liberal_Puertorriqueño,1357
Lares,1936,Partido_Liberal_Puertorriqueño,4228
Las Marías,1936,Partido_Liberal_Puertorriqueño,869
Las Piedras,1936,Partido_Liberal_Puertorriqueño,1622
Loíza,1936,Partido_Liberal_Puertorriqueño,3783
Luquillo,1936,Partido_Liberal_Puertorriqueño,1124
Manatí,1936,Partido_Liberal_Puertorriqueño,4249
Maricao,1936,Partido_Liberal_Puertorriqueño,1135
Maunabo,1936,Partido_Liberal_Puertorriqueño,1315
Mayagüez,1936,Partido_Liberal_Puertorriqueño,11775
Moca,1936,Partido_Liberal_Puertorriqueño,1884
Morovis,1936,Partido_Liberal_Puertorriqueño,2336
Naguabo,1936,Partido_Liberal_Puertorriqueño,2322
Naranjito,1936,Partido_Liberal_Puertorriqueño,2336
Orocovis,1936,Partido_Liberal_Puertorriqueño,1350
Patillas,1936,Partido_Liberal_Puertorriqueño,2441
Peñuelas,1936,Partido_Liberal_Puertorriqueño,2045
Ponce,1936,Partido_Liberal_Puertorriqueño,15073
Quebradillas,1936,Partido_Liberal_Puertorriqueño,2304
Rincón,1936,Partido_Liberal_Puertorriqueño,1277
Río Grande,1936,Partido_Liberal_Puertorriqueño,2317
Río Piedras,1936,Partido_Liberal_Puertorriqueño,5526
Sabana Grande,1936,Partido_Liberal_Puertorriqueño,2360
Salinas,1936,Partido_Liberal_Puertorriqueño,2662
San Germán,1936,Partido_Liberal_Puertorriqueño,4086
San Juan,1936,Partido_Liberal_Puertorriqueño,21455
San Lorenzo,1936,Partido_Liberal_Puertorriqueño,3407
San Sebastián,1936,Partido_Liberal_Puertorriqueño,4129
Santa Isabel,1936,Partido_Liberal_Puertorriqueño,2071
Toa Alta,1936,Partido_Liberal_Puertorriqueño,1974
Toa Baja,1936,Partido_Liberal_Puertorriqueño,1395
Trujillo Alto,1936,Partido_Liberal_Puertorriqueño,1465
Utuado,1936,Partido_Liberal_Puertorriqueño,5831
Vega Alta,1936,Partido_Liberal_Puertorriqueño,2057
Vega Baja,1936,Partido_Liberal_Puertorriqueño,3328
Vieques,1936,Partido_Liberal_Puertorriqueño,1858
Villalba,1936,Partido_Liberal_Puertorriqueño,1694
Yabucoa,1936,Partido_Liberal_Puertorriqueño,3792
Yauco,1936,Partido_Liberal_Puertorriqueño,4901
Adjuntas,1944,Partido_Liberal_Puertorriqueño,126
Aguada,1944,Partido_Liberal_Puertorriqueño,84
Aguadilla,1944,Partido_Liberal_Puertorriqueño,164
Aguas Buenas,1944,Partido_Liberal_Puertorriqueño,409
Aibonito,1944,Partido_Liberal_Puertorriqueño,259
Añasco,1944,Partido_Liberal_Puertorriqueño,229
Arecibo,1944,Partido_Liberal_Puertorriqueño,1025
Arroyo,1944,Partido_Liberal_Puertorriqueño,1248
Barceloneta,1944,Partido_Liberal_Puertorriqueño,78
Barranquitas,1944,Partido_Liberal_Puertorriqueño,127
Bayamón,1944,Partido_Liberal_Puertorriqueño,347
Cabo Rojo,1944,Partido_Liberal_Puertorriqueño,795
Caguas,1944,Partido_Liberal_Puertorriqueño,2136
Camuy,1944,Partido_Liberal_Puertorriqueño,318
Carolina,1944,Partido_Liberal_Puertorriqueño,512
Cataño,1944,Partido_Liberal_Puertorriqueño,198
Cayey,1944,Partido_Liberal_Puertorriqueño,654
Ceiba,1944,Partido_Liberal_Puertorriqueño,56
Ciales,1944,Partido_Liberal_Puertorriqueño,56
Cidra,1944,Partido_Liberal_Puertorriqueño,746
Coamo,1944,Partido_Liberal_Puertorriqueño,64
Comerío,1944,Partido_Liberal_Puertorriqueño,351
Corozal,1944,Partido_Liberal_Puertorriqueño,162
Culebra,1944,Partido_Liberal_Puertorriqueño,20
Dorado,1944,Partido_Liberal_Puertorriqueño,108
Fajardo,1944,Partido_Liberal_Puertorriqueño,611
Guánica,1944,Partido_Liberal_Puertorriqueño,140
Guayama,1944,Partido_Liberal_Puertorriqueño,833
Guayanilla,1944,Partido_Liberal_Puertorriqueño,1272
Guaynabo,1944,Partido_Liberal_Puertorriqueño,229
Gurabo,1944,Partido_Liberal_Puertorriqueño,608
Hatillo,1944,Partido_Liberal_Puertorriqueño,349
Hormigueros,1944,Partido_Liberal_Puertorriqueño,165
Humacao,1944,Partido_Liberal_Puertorriqueño,2100
Isabela,1944,Partido_Liberal_Puertorriqueño,154
Jayuya,1944,Partido_Liberal_Puertorriqueño,72
Juana Díaz,1944,Partido_Liberal_Puertorriqueño,142
Juncos,1944,Partido_Liberal_Puertorriqueño,1044
Lajas,1944,Partido_Liberal_Puertorriqueño,118
Lares,1944,Partido_Liberal_Puertorriqueño,361
Las Marías,1944,Partido_Liberal_Puertorriqueño,22
Las Piedras,1944,Partido_Liberal_Puertorriqueño,439
Loíza,1944,Partido_Liberal_Puertorriqueño,391
Luquillo,1944,Partido_Liberal_Puertorriqueño,136
Manatí,1944,Partido_Liberal_Puertorriqueño,89
Maricao,1944,Partido_Liberal_Puertorriqueño,50
Maunabo,1944,Partido_Liberal_Puertorriqueño,151
Mayagüez,1944,Partido_Liberal_Puertorriqueño,1115
Moca,1944,Partido_Liberal_Puertorriqueño,70
Morovis,1944,Partido_Liberal_Puertorriqueño,58
Naguabo,1944,Partido_Liberal_Puertorriqueño,122
Naranjito,1944,Partido_Liberal_Puertorriqueño,407
