,municipios,votos_P_P_D,pct_P_P_D,votos_P_N_P,pct_P_N_P,votos_P_I_P,pct_P_I_P,votos_P_R_P,pct_P_R_P,votos_Independiente,pct_Independiente,total
59,Rincón,"4,168",60.6,"2,476",36.0,102,1.5,129,1.9, , ,"6,875"
60,Río Grande,"8,787",46.9,"9,073",48.4,609,3.2,275,1.5, , ,"18,744"
61,Sabana Grande,"7,461",64.3,"3,725",32.1,264,2.3,153,1.3, , ,"11,603"
62,Salinas,"8,587",62.2,"4,538",32.9,355,2.6,285,2.1,31,0.2,"13,796"
63,San Germán,"10,231",56.4,"6,541",36.1,422,2.3,229,1.3,706,3.9,"18,129"
64,San Juan,"96,857",44.5,"105,118",48.3,"8,304",3.8,"7,152",3.3, , ,"217,431"
65,San Lorenzo,"8,942",46.7,"9,530",49.8,404,2.1,256,1.3, , ,"19,132"
66,San Sebastián,"9,928",50.5,"8,569",43.6,"1,003",5.1,141,0.7, , ,"19,641"
67,Santa Isabel,"5,368",53.6,"4,271",42.6,285,2.8,92,0.9, , ,"10,016"
68,Toa Alta,"8,735",52.6,"7,185",43.3,513,3.1,173,1.0, , ,"16,606"
69,Toa Baja,"17,746",46.3,"17,913",46.8,"1,849",4.8,796,2.1, , ,"38,304"
70,Trujillo Alto,"13,907",54.0,"10,592",41.1,869,3.4,376,1.5, , ,"25,744"
71,Utuado,"9,251",48.3,"9,464",49.4,293,1.5,143,0.7, , ,"19,151"
72,Vega Alta,"8,898",55.4,"6,548",40.7,488,3.0,139,0.9, , ,"16,073"
73,Vega Baja,"13,540",51.0,"11,665",43.9,776,2.9,566,2.1, , ,"26,547"
74,Vieques,"2,098",43.5,"2,590",53.7,123,2.6,11,0.2, , ,"4,822"
75,Villalba,"5,483",46.8,"6,008",51.3,128,1.1,97,0.8, , ,"11,716"
76,Yabucoa,"10,220",54.7,"8,045",43.1,333,1.8,80,0.4, , ,"18,678"
77,Yauco,"12,036",56.1,"8,672",40.4,552,2.6,180,0.8, , ,"21,440"
78,"Total,Puerto Rico","843,303",49.1,"788,032",45.9,"55,012",3.2,"30,251",1.8,891,0.1,"1,717,489"
