,municipios,votos_P_P_D,pct_P_P_D,votos_P_N_P,pct_P_N_P,votos_P_I_P,pct_P_I_P,votos_Independiente,pct_Independiente,votos_Local,pct_Local,votos_Otros,pct_Otros,votos_Blanco,pct_Blanco,votos_Nulo,pct_Nulo,total
37,Jayuya,"5,513",52.7,"4,737",45.3,140,1.3, , , , ,0,0.0,40,0.4,29,0.3,"10,459"
38,Juana Díaz,"12,975",50.5,"12,057",46.9,509,2.0, , , , ,6,0.0,112,0.4,49,0.2,"25,708"
39,Juncos,"7,453",40.2,"3,846",20.8,359,1.9, , , , ,"6,574",35.5,97,0.5,188,1.0,"18,517"
40,Lajas,"6,002",41.5,"5,492",38.0,356,2.5,"2,461",17.0, , ,10,0.1,55,0.4,88,0.6,"14,464"
41,Lares,"9,475",51.0,"8,375",45.1,554,3.0, , , , ,5,0.0,98,0.5,71,0.4,"18,578"
42,Las Marías,"2,885",43.7,"3,581",54.2,80,1.2, , , , ,2,0.0,30,0.5,25,0.4,"6,603"
43,Las Piedras,"6,190",32.9,"12,023",64.0,427,2.3, , , , ,5,0.0,80,0.4,68,0.4,"18,793"
44,Loíza,"5,367",39.1,"7,517",54.8,357,2.6, , ,189,1.4,28,0.2,136,1.0,121,0.9,"13,715"
45,Luquillo,"4,439",42.8,"5,521",53.2,335,3.2, , , , ,6,0.1,49,0.5,30,0.3,"10,380"
46,Manatí,"8,190",33.5,"15,279",62.6,711,2.9, , , , ,9,0.0,134,0.5,93,0.4,"24,416"
47,Maricao,"1,752",42.8,"2,288",55.8,23,0.6, , , , ,0,0.0,20,0.5,15,0.4,"4,098"
48,Maunabo,"4,054",51.5,"3,549",45.1,201,2.6, , , , ,2,0.0,34,0.4,32,0.4,"7,872"
49,Mayagüez,"29,569",57.3,"18,580",36.0,"2,611",5.1, , , , ,134,0.3,476,0.9,224,0.4,"51,594"
50,Moca,"9,728",42.8,"12,435",54.8,385,1.7, , , , ,4,0.0,81,0.4,72,0.3,"22,705"
51,Morovis,"8,644",50.7,"8,099",47.5,184,1.1, , , , ,1,0.0,72,0.4,38,0.2,"17,038"
52,Naguabo,"6,278",46.0,"6,931",50.8,336,2.5, , , , ,4,0.0,65,0.5,31,0.2,"13,645"
53,Naranjito,"9,596",52.3,"8,235",44.9,426,2.3, , , , ,5,0.0,52,0.3,31,0.2,"18,345"
54,Orocovis,"7,308",48.1,"7,641",50.3,135,0.9, , , , ,1,0.0,51,0.3,44,0.3,"15,180"
55,Patillas,"5,716",46.7,"6,114",50.0,260,2.1, , , , ,39,0.3,65,0.5,38,0.3,"12,232"
56,Peñuelas,"7,243",51.5,"6,044",43.0,626,4.5, , , , ,6,0.0,96,0.7,45,0.3,"14,060"
57,Ponce,"49,858",55.7,"36,999",41.3,"2,092",2.3, , , , ,20,0.0,341,0.4,262,0.3,"89,572"
58,Quebradillas,"7,245",47.6,"7,576",49.8,294,1.9, , , , ,8,0.1,62,0.4,36,0.2,"15,221"
59,Rincón,"5,356",58.4,"3,678",40.1,70,0.8, , , , ,4,0.0,36,0.4,30,0.3,"9,174"
60,Río Grande,"11,303",45.9,"12,049",48.9,902,3.7, , ,22,0.1,80,0.3,164,0.7,101,0.4,"24,621"
61,Sabana Grande,"9,034",60.7,"5,425",36.5,281,1.9, , , , ,11,0.1,74,0.5,49,0.3,"14,874"
62,Salinas,"7,935",49.4,"7,575",47.1,430,2.7, , , , ,6,0.0,66,0.4,57,0.4,"16,069"
63,San Germán,"11,673",55.2,"7,977",37.7,552,2.6, , , , ,687,3.2,166,0.8,90,0.4,"21,145"
64,San Juan,"97,383",46.3,"101,012",48.0,"10,753",5.1, , , , ,57,0.0,810,0.4,511,0.2,"210,526"
65,San Lorenzo,"12,435",55.1,"9,425",41.8,500,2.2, , , , ,12,0.1,116,0.5,78,0.3,"22,566"
66,San Sebastián,"12,061",45.6,"13,343",50.4,836,3.2, , , , ,11,0.0,145,0.5,81,0.3,"26,477"
67,Santa Isabel,"5,648",48.7,"5,572",48.1,287,2.5, , , , ,12,0.1,46,0.4,30,0.3,"11,595"
68,Toa Alta,"12,635",44.2,"9,238",32.4,960,3.4,"5,532",19.4, , ,10,0.0,92,0.3,87,0.3,"28,554"
69,Toa Baja,"22,456",49.8,"20,226",44.9,"1,928",4.3, , , , ,63,0.1,254,0.6,151,0.3,"45,078"
70,Trujillo Alto,"22,465",61.3,"12,379",33.8,"1,470",4.0, , , , ,39,0.1,155,0.4,136,0.4,"36,644"
71,Utuado,"10,273",48.6,"10,360",49.0,338,1.6, , , , ,4,0.0,81,0.4,68,0.3,"21,124"
72,Vega Alta,"9,867",48.8,"9,651",47.7,544,2.7, , , , ,6,0.0,114,0.6,57,0.3,"20,239"
73,Vega Baja,"16,783",52.2,"14,212",44.2,883,2.7, , , , ,9,0.0,112,0.3,141,0.4,"32,140"
74,Vieques,"3,475",64.0,"1,697",31.3,194,3.6, , , , ,6,0.1,28,0.5,30,0.6,"5,430"
75,Villalba,"6,835",45.9,"1,093",7.3,187,1.3,"6,617",44.5, , ,4,0.0,71,0.5,69,0.5,"14,876"
76,Yabucoa,"10,895",47.7,"11,247",49.3,526,2.3, , , , ,7,0.0,89,0.4,68,0.3,"22,832"
77,Yauco,"10,969",44.5,"12,668",51.4,735,3.0, , , , ,22,0.1,152,0.6,87,0.4,"24,633"
78,"Total,Puerto Rico","971,191",48.5,"924,127",46.2,"64,582",3.2,"15,815",0.8,211,0.0,"8,929",0.4,"9,616",0.5,"6,423",0.3,"2,000,894"
