,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_I_P,pct_P_I_P,votos_P_S_P,pct_P_S_P,votos_Local,pct_Local,votos_Independiente,pct_Independiente,total
25,Dorado,"3,700",36.8,"5,772",57.3,526,5.2,68,0.7, , , , ,"10,066"
26,Fajardo,"7,165",50.8,"6,306",44.7,555,3.9,88,0.6, , , , ,"14,114"
27,Florida,"1,572",47.4,"1,623",48.9,116,3.5,7,0.2, , , , ,"3,318"
28,Guánica,"4,007",46.7,"4,191",48.8,326,3.8,58,0.7, , , , ,"8,582"
29,Guayama,"7,620",44.8,"8,472",49.8,782,4.6,129,0.8, , , , ,"17,003"
30,Guayanilla,"4,386",45.1,"4,667",48.0,570,5.9,92,0.9, , , , ,"9,715"
31,Guaynabo,"20,001",55.3,"14,227",39.3,"1,755",4.8,206,0.6, , , , ,"36,189"
32,Gurabo,"4,851",45.2,"5,532",51.6,259,2.4,85,0.8, , , , ,"10,727"
33,Hatillo,"5,804",44.0,"7,002",53.1,305,2.3,71,0.5, , , , ,"13,182"
34,Hormigueros,"2,801",41.4,"3,647",53.9,305,4.5,17,0.3, , , , ,"6,770"
35,Humacao,"7,989",45.8,"8,784",50.3,544,3.1,137,0.8, , , , ,"17,454"
36,Isabela,"7,069",43.1,"8,436",51.4,729,4.4,178,1.1, , , , ,"16,412"
37,Jayuya,"3,700",51.9,"3,134",43.9,260,3.6,41,0.6, , , , ,"7,135"
38,Juana Díaz,"8,785",53.1,"7,378",44.6,306,1.9,65,0.4, , , , ,"16,534"
39,Juncos,"5,983",50.0,"5,628",47.0,297,2.5,61,0.5, , , , ,"11,969"
40,Lajas,"4,340",44.3,"5,113",52.2,322,3.3,25,0.3, , , , ,"9,800"
41,Lares,"5,614",44.7,"6,340",50.4,537,4.3,82,0.7, , , , ,"12,573"
42,Las Marías,"1,533",37.7,"2,369",58.3,162,4.0, , , , , , ,"4,064"
43,Las Piedras,"6,083",53.7,"5,022",44.4,170,1.5,47,0.4, , , , ,"11,322"
44,Loíza,"4,645",64.2,"2,389",33.0,186,2.6,12,0.2, , , , ,"7,232"
45,Luquillo,"3,453",54.7,"2,687",42.5,117,1.9,35,0.6, , ,25,0.4,"6,317"
46,Manatí,"8,849",50.1,"8,147",46.1,573,3.2,88,0.5, , , , ,"17,657"
47,Maricao,"1,527",47.8,"1,622",50.8,45,1.4, , , , , , ,"3,194"
48,Maunabo,"2,748",49.7,"2,426",43.9,316,5.7,40,0.7, , , , ,"5,530"
49,Mayagüez,"20,514",46.0,"21,476",48.2,"2,341",5.2,261,0.6, , , , ,"44,592"
50,Moca,"6,478",51.8,"5,683",45.4,316,2.5,32,0.3, , , , ,"12,509"
51,Morovis,"4,539",44.8,"5,312",52.5,172,1.7,98,1.0, , , , ,"10,121"
52,Naguabo,"4,903",48.8,"4,981",49.6,131,1.3,34,0.3, , , , ,"10,049"
53,Naranjito,"4,264",37.1,"6,722",58.5,454,3.9,59,0.5, , , , ,"11,499"
54,Orocovis,"4,700",48.5,"4,713",48.6,191,2.0,90,0.9, , , , ,"9,694"
55,Patillas,"4,675",53.4,"3,722",42.5,295,3.4,57,0.7, , , , ,"8,749"
56,Peñuelas,"3,715",43.0,"4,325",50.1,500,5.8,91,1.1, , , , ,"8,631"
57,Ponce,"39,094",49.6,"36,504",46.3,"2,687",3.4,577,0.7, , , , ,"78,862"
58,Quebradillas,"3,874",43.8,"4,627",52.3,312,3.5,32,0.4, , , , ,"8,845"
59,Rincón,"2,272",41.0,"3,085",55.7,174,3.1,10,0.2, , , , ,"5,541"
60,Río Grande,"7,187",51.0,"6,256",44.4,576,4.1,84,0.6, , , , ,"14,103"
61,Sabana Grande,"3,356",33.9,"6,208",62.8,290,2.9,35,0.4, , , , ,"9,889"
62,Salinas,"4,227",37.6,"6,612",58.8,342,3.0,60,0.5, , , , ,"11,241"
63,San Germán,"7,056",46.8,"7,239",48.1,644,4.3,125,0.8, , , , ,"15,064"
64,San Juan,"117,982",52.9,"89,268",40.1,"12,768",5.7,"2,816",1.3, , , , ,"222,834"
65,San Lorenzo,"8,012",51.8,"7,041",45.5,377,2.4,40,0.3, , , , ,"15,470"
66,San Sebastián,"7,183",42.5,"8,549",50.6,"1,049",6.2,122,0.7, , , , ,"16,903"
67,Santa Isabel,"4,093",48.6,"4,086",48.5,189,2.2,50,0.6, , , , ,"8,418"
68,Toa Alta,"5,712",50.1,"5,192",45.5,419,3.7,79,0.7, , , , ,"11,402"
69,Toa Baja,"15,508",50.6,"12,932",42.2,"1,925",6.3,290,0.9, , , , ,"30,655"
70,Trujillo Alto,"10,046",49.5,"8,534",42.1,"1,472",7.3,232,1.1, , , , ,"20,284"
71,Utuado,"8,677",50.8,"7,699",45.1,569,3.3,143,0.8, , , , ,"17,088"
72,Vega Alta,"6,141",48.6,"5,867",46.4,498,3.9,142,1.1, , , , ,"12,648"
73,Vega Baja,"9,175",46.1,"9,775",49.1,846,4.3,108,0.5, , , , ,"19,904"
74,Vieques,"2,010",48.7,"2,004",48.6,86,2.1,25,0.6, , , , ,"4,125"
75,Villalba,"4,595",52.3,"4,071",46.4,101,1.2,13,0.1, , , , ,"8,780"
76,Yabucoa,"7,562",47.1,"8,118",50.5,273,1.7,118,0.7, , , , ,"16,071"
77,Yauco,"8,236",47.1,"8,139",46.5,971,5.5,157,0.9, , , , ,"17,503"
78,"Total,Puerto Rico","711,431",49.0,"662,540",45.7,"66,442",4.6,"10,746",0.7,1,0.0,26,0.0,"1,451,186"
