,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_I_P,pct_P_I_P,votos_P_S_P,pct_P_S_P,votos_Independiente,pct_Independiente,votos_Write-in,pct_Write-in,total
65,San Lorenzo,"8,518",48.7,"8,623",49.3,336,1.9, , , , , , ,"17,477"
66,San Sebastián,"8,259",43.0,"9,575",49.9,"1,297",6.8,75,0.4, , , , ,"19,206"
67,Santa Isabel,"3,989",42.6,"5,017",53.6,333,3.6,24,0.3, , , , ,"9,363"
68,Toa Alta,"6,354",45.5,"7,137",51.1,447,3.2,31,0.2, , , , ,"13,969"
69,Toa Baja,"15,985",47.2,"15,504",45.8,"2,213",6.5,135,0.4, , , , ,"33,837"
70,Trujillo Alto,"10,247",46.4,"10,275",46.5,"1,475",6.7,85,0.4, , , , ,"22,082"
71,Utuado,"8,968",48.5,"8,920",48.2,525,2.8,88,0.5,8,0.0, , ,"18,509"
72,Vega Alta,"6,502",45.1,"7,283",50.6,528,3.7,89,0.6, , , , ,"14,402"
73,Vega Baja,"10,688",45.6,"11,906",50.8,828,3.5,30,0.1, , , , ,"23,452"
74,Vieques,"1,781",40.0,"2,530",56.9,101,2.3,38,0.9, , , , ,"4,450"
75,Villalba,"4,922",49.6,"4,831",48.7,166,1.7,7,0.1, , , , ,"9,926"
76,Yabucoa,"8,315",47.1,"8,714",49.4,551,3.1,64,0.4, , , , ,"17,644"
77,Yauco,"8,749",45.2,"9,677",50.0,793,4.1,126,0.7, , , , ,"19,345"
78,"Total,Puerto Rico","769,638",48.0,"745,131",46.5,"81,473",5.1,"4,927",0.3,348,0.0,"2,253",0.1,"1,603,770"
