,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_I_P,pct_P_I_P,votos_Independiente,pct_Independiente,votos_Local,pct_Local,votos_Otros,pct_Otros,votos_Blanco,pct_Blanco,votos_Nulo,pct_Nulo,total
14,Canóvanas,"12,772",60.0,"7,945",37.3,339,1.6, , , , ,14,0.1,102,0.5,116,0.5,"21,288"
15,Carolina,"38,997",42.8,"49,144",53.9,"2,317",2.5, , , , ,35,0.0,437,0.5,260,0.3,"91,190"
16,Cataño,"8,317",50.7,"7,352",44.8,252,1.5, , , , ,22,0.1,88,0.5,372,2.3,"16,403"
17,Cayey,"10,771",41.7,"11,816",45.8,769,3.0, , , , ,"2,090",8.1,209,0.8,147,0.6,"25,802"
18,Ceiba,"3,386",47.3,"3,564",49.7,129,1.8, , , , ,7,0.1,51,0.7,29,0.4,"7,166"
19,Ciales,"6,519",56.4,"4,779",41.4,187,1.6, , , , ,7,0.1,42,0.4,19,0.2,"11,553"
20,Cidra,"13,182",63.4,"6,566",31.6,862,4.1, , , , ,2,0.0,108,0.5,72,0.3,"20,792"
21,Coamo,"10,148",49.9,"8,841",43.5,214,1.1,678,3.3, , ,8,0.0,95,0.5,353,1.7,"20,337"
22,Comerío,"6,212",50.5,"5,784",47.0,225,1.8, , , , ,6,0.0,30,0.2,39,0.3,"12,296"
23,Corozal,"11,713",56.5,"8,573",41.4,292,1.4, , , , ,6,0.0,72,0.3,62,0.3,"20,718"
24,Culebra,525,48.8,508,47.2,11,1.0,26,2.4, , ,3,0.3,1,0.1,2,0.2,"1,076"
25,Dorado,"7,425",40.7,"9,896",54.3,660,3.6, , , , ,82,0.4,103,0.6,70,0.4,"18,236"
26,Fajardo,"10,295",54.3,"7,908",41.7,526,2.8, , , , ,16,0.1,133,0.7,76,0.4,"18,954"
27,Florida,"3,253",55.4,"2,450",41.7,136,2.3, , , , ,2,0.0,23,0.4,12,0.2,"5,876"
28,Guánica,"5,731",50.3,"5,331",46.8,222,1.9, , , , ,12,0.1,72,0.6,30,0.3,"11,398"
29,Guayama,"8,464",39.7,"11,946",56.0,518,2.4, , , , ,92,0.4,179,0.8,118,0.6,"21,317"
30,Guayanilla,"6,686",52.7,"5,546",43.7,342,2.7, , , , ,9,0.1,64,0.5,37,0.3,"12,684"
31,Guaynabo,"29,852",59.8,"18,127",36.3,"1,259",2.5, , , , ,25,0.1,241,0.5,406,0.8,"49,910"
32,Gurabo,"9,380",52.8,"7,780",43.8,450,2.5, , , , ,7,0.0,91,0.5,55,0.3,"17,763"
33,Hatillo,"9,834",46.7,"10,771",51.1,293,1.4, , , , ,5,0.0,105,0.5,59,0.3,"21,067"
34,Hormigueros,"3,059",30.8,"4,470",45.0,534,5.4,"1,675",16.9, , ,51,0.5,57,0.6,87,0.9,"9,933"
35,Humacao,"14,943",49.7,"14,214",47.3,675,2.2, , , , ,8,0.0,147,0.5,87,0.3,"30,074"
36,Isabela,"12,915",51.0,"11,966",47.3,258,1.0, , , , ,13,0.1,119,0.5,41,0.2,"25,312"
37,Jayuya,"4,838",48.6,"4,893",49.2,152,1.5, , , , ,5,0.1,34,0.3,29,0.3,"9,951"
38,Juana Díaz,"13,134",52.0,"11,653",46.1,293,1.2, , , , ,8,0.0,128,0.5,64,0.3,"25,280"
39,Juncos,"9,013",50.0,"8,530",47.4,260,1.4, , , , ,19,0.1,122,0.7,66,0.4,"18,010"
40,Lajas,"3,806",27.4,"5,409",39.0,163,1.2, , , , ,"4,273",30.8,114,0.8,107,0.8,"13,872"
41,Lares,"8,368",45.8,"9,474",51.8,285,1.6, , , , ,5,0.0,90,0.5,60,0.3,"18,282"
42,Las Marías,"3,045",50.1,"2,922",48.1,64,1.1, , , , ,7,0.1,21,0.3,19,0.3,"6,078"
43,Las Piedras,"11,881",66.4,"5,615",31.4,257,1.4, , , , ,8,0.0,72,0.4,67,0.4,"17,900"
44,Loíza,"8,775",65.0,"3,964",29.4,233,1.7,168,1.2, , ,115,0.9,146,1.1,103,0.8,"13,504"
45,Luquillo,"5,956",56.9,"4,232",40.4,172,1.6, , , , ,9,0.1,53,0.5,52,0.5,"10,474"
46,Manatí,"14,915",61.4,"8,342",34.3,788,3.2, , , , ,6,0.0,149,0.6,99,0.4,"24,299"
47,Maricao,"2,339",58.7,"1,579",39.6,23,0.6,10,0.3, , ,2,0.1,19,0.5,15,0.4,"3,987"
48,Maunabo,"3,943",52.6,"3,207",42.8,245,3.3, , , , ,3,0.0,61,0.8,35,0.5,"7,494"
49,Mayagüez,"20,352",38.2,"30,170",56.6,"2,077",3.9, , , , ,124,0.2,379,0.7,202,0.4,"53,304"
50,Moca,"11,478",55.3,"8,664",41.8,383,1.8, , , , ,10,0.0,129,0.6,79,0.4,"20,743"
51,Morovis,"8,061",50.2,"7,738",48.2,167,1.0, , , , ,1,0.0,64,0.4,37,0.2,"16,068"
52,Naguabo,"6,907",52.3,"5,915",44.7,257,1.9, , , , ,22,0.2,81,0.6,37,0.3,"13,219"
53,Naranjito,"7,371",42.3,"9,454",54.3,440,2.5, , , , ,19,0.1,87,0.5,47,0.3,"17,418"
54,Orocovis,"7,137",50.5,"6,749",47.7,163,1.2, , , , ,2,0.0,61,0.4,31,0.2,"14,143"
55,Patillas,"5,865",48.6,"5,744",47.6,325,2.7, , , , ,12,0.1,86,0.7,36,0.3,"12,068"
56,Peñuelas,"6,374",46.2,"6,477",47.0,769,5.6, , , , ,20,0.1,107,0.8,39,0.3,"13,786"
57,Ponce,"35,127",38.1,"54,255",58.9,"1,789",1.9, , , , ,56,0.1,620,0.7,330,0.4,"92,177"
58,Quebradillas,"7,380",51.9,"6,422",45.1,266,1.9, , , , ,17,0.1,97,0.7,42,0.3,"14,224"
59,Rincón,"4,278",50.0,"4,099",47.9,61,0.7, , , , ,16,0.2,67,0.8,29,0.3,"8,550"
60,Río Grande,"12,301",50.9,"10,477",43.4,459,1.9,352,1.5,251,1.0,23,0.1,173,0.7,108,0.4,"24,144"
61,Sabana Grande,"5,606",38.9,"8,338",57.9,237,1.6, , , , ,54,0.4,112,0.8,47,0.3,"14,394"
62,Salinas,"7,768",50.4,"7,013",45.5,484,3.1, , , , ,2,0.0,96,0.6,45,0.3,"15,408"
63,San Germán,"10,916",51.2,"9,330",43.7,552,2.6, , , , ,21,0.1,151,0.7,363,1.7,"21,333"
64,San Juan,"97,572",46.4,"105,940",50.4,"5,330",2.5, , , , ,65,0.0,718,0.3,595,0.3,"210,220"
65,San Lorenzo,"11,703",53.9,"9,352",43.1,459,2.1, , , , ,8,0.0,140,0.6,53,0.2,"21,715"
66,San Sebastián,"14,120",55.3,"10,457",40.9,706,2.8, , , , ,17,0.1,160,0.6,81,0.3,"25,541"
67,Santa Isabel,"5,350",47.3,"5,700",50.4,177,1.6, , , , ,6,0.1,44,0.4,32,0.3,"11,309"
68,Toa Alta,"15,317",60.1,"8,736",34.3,"1,160",4.6, , , , ,17,0.1,166,0.7,96,0.4,"25,492"
69,Toa Baja,"24,199",53.8,"19,150",42.5,"1,282",2.8, , , , ,13,0.0,222,0.5,144,0.3,"45,010"
70,Trujillo Alto,"16,131",47.5,"16,122",47.4,"1,387",4.1, , , , ,38,0.1,172,0.5,132,0.4,"33,982"
71,Utuado,"10,975",52.1,"9,584",45.5,282,1.3, , , , ,19,0.1,134,0.6,71,0.3,"21,065"
72,Vega Alta,"10,302",51.6,"9,084",45.5,397,2.0, , , , ,4,0.0,101,0.5,80,0.4,"19,968"
73,Vega Baja,"12,491",39.6,"17,966",56.9,814,2.6, , , , ,19,0.1,155,0.5,129,0.4,"31,574"
74,Vieques,"2,702",49.1,"2,658",48.3,94,1.7, , , , ,1,0.0,30,0.5,16,0.3,"5,501"
75,Villalba,"8,131",57.0,"5,805",40.7,206,1.4, , , , ,5,0.0,76,0.5,32,0.2,"14,255"
76,Yabucoa,"10,781",48.0,"11,097",49.4,410,1.8, , , , ,8,0.0,103,0.5,72,0.3,"22,471"
77,Yauco,"10,715",44.3,"12,052",49.9,873,3.6, , , , ,233,1.0,172,0.7,126,0.5,"24,171"
78,"Total,Puerto Rico","975,541",49.6,"906,756",46.1,"50,442",2.6,"2,909",0.1,251,0.0,"11,015",0.6,"10,795",0.5,"7,927",0.4,"1,965,636"
