,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_I_P,pct_P_I_P,votos_Otros,pct_Otros,votos_Blanco,pct_Blanco,votos_Nulo,pct_Nulo,total
68,Toa Alta,"13,196",51.9,"11,126",43.7,"1,002",3.9,5,0.0,51,0.2,52,0.2,"25,432"
69,Toa Baja,"22,977",51.3,"19,841",44.3,"1,777",4.0,9,0.0,96,0.2,96,0.2,"44,796"
70,Trujillo Alto,"16,234",47.8,"15,826",46.6,"1,762",5.2,18,0.1,60,0.2,65,0.2,"33,965"
71,Utuado,"11,090",52.8,"9,378",44.6,443,2.1,2,0.0,54,0.3,50,0.2,"21,017"
72,Vega Alta,"9,718",48.9,"9,457",47.6,627,3.2,3,0.0,35,0.2,35,0.2,"19,875"
73,Vega Baja,"14,803",47.2,"15,398",49.1,"1,033",3.3,6,0.0,82,0.3,65,0.2,"31,387"
74,Vieques,"2,634",48.1,"2,577",47.1,216,3.9,4,0.1,24,0.4,17,0.3,"5,472"
75,Villalba,"7,809",54.8,"6,127",43.0,237,1.7,2,0.0,46,0.3,29,0.2,"14,250"
76,Yabucoa,"10,950",48.9,"10,703",47.8,579,2.6,6,0.0,61,0.3,71,0.3,"22,370"
77,Yauco,"11,407",47.5,"11,591",48.2,897,3.7,8,0.0,62,0.3,64,0.3,"24,029"
78,"Total,Puerto Rico","973,654",49.8,"904,048",46.2,"68,828",3.5,440,0.0,"4,887",0.2,"4,522",0.2,"1,956,379"
