,municipios,votos_Unión_Republicana,pct_Unión_Republicana,votos_Partido_Socialista,pct_Partido_Socialista,votos_Total_Combinado,pct_Total_Combinado,votos_Partido_Liberal_Puertorriqueño,pct_Partido_Liberal_Puertorriqueño,votos_Partido_Nacionalistade _Puerto_Rico,pct_Partido_Nacionalistade _Puerto_Rico,votos_Candidatos_Independientes,pct_Candidatos_Independientes,total
18,Ciales,"1,946",42.9,647,14.3,"2,593",57.2,"1,930",42.6,10,0.2,1,0.0,"4,534"
19,Cidra,576,22.6,270,10.6,846,33.1,"1,689",66.1,19,0.7,0,0.0,"2,554"
20,Coamo,"2,906",60.9,610,12.8,"3,516",73.6,"1,249",26.2,9,0.2,0,0.0,"4,774"
21,Comerío,539,16.4,530,16.1,"1,069",32.5,"2,143",65.2,74,2.3,0,0.0,"3,286"
22,Corozal,"1,609",44.2,134,3.7,"1,743",47.9,"1,887",51.8,11,0.3,0,0.0,"3,641"
23,Culebra,3,1.4,64,29.5,67,30.9,150,69.1,0,0.0,0,0.0,217
24,Dorado,"1,196",63.9,290,15.5,"1,486",79.3,330,17.6,57,3.0,0,0.0,"1,873"
25,Fajardo,202,4.3,"2,443",52.4,"2,645",56.8,"1,959",42.1,53,1.1,1,0.0,"4,658"
26,Guánica,"2,025",74.8,462,17.1,"2,487",91.9,206,7.6,13,0.5,0,0.0,"2,706"
27,Guayama,"1,257",16.4,"3,431",44.7,"4,688",61.0,"2,933",38.2,59,0.8,0,0.0,"7,680"
28,Guayanilla,"1,311",32.4,684,16.9,"1,995",49.3,"2,046",50.6,6,0.1,0,0.0,"4,047"
29,Guaynabo,"1,296",48.3,275,10.3,"1,571",58.6,"1,103",41.1,8,0.3,0,0.0,"2,682"
30,Gurabo,338,9.9,"1,447",42.2,"1,785",52.1,"1,630",47.6,11,0.3,0,0.0,"3,426"
31,Hatillo,415,11.9,"1,214",34.7,"1,629",46.6,"1,865",53.3,4,0.1,0,0.0,"3,498"
32,Hormigueros,76,5.5,676,49.3,752,54.9,616,45.0,2,0.1,0,0.0,"1,370"
33,Humacao,465,6.8,"3,056",44.8,"3,521",51.6,"3,172",46.5,134,2.0,1,0.0,"6,828"
34,Isabela,"2,433",47.3,440,8.5,"2,873",55.8,"2,115",41.1,159,3.1,0,0.0,"5,147"
35,Jayuya,420,14.0,"1,036",34.6,"1,456",48.6,"1,525",50.9,12,0.4,1,0.0,"2,994"
36,Juana Díaz,"1,306",29.3,"1,514",34.0,"2,820",63.3,"1,628",36.5,7,0.2,0,0.0,"4,455"
37,Juncos,250,5.6,"1,595",35.8,"1,845",41.4,"2,587",58.0,27,0.6,0,0.0,"4,459"
38,Lajas,"1,075",34.2,"1,132",36.0,"2,207",70.2,926,29.5,9,0.3,0,0.0,"3,142"
39,Lares,"1,860",26.5,"2,211",31.5,"4,071",58.0,"2,917",41.6,30,0.4,0,0.0,"7,018"
40,Las Marías,266,17.9,729,49.0,995,66.9,488,32.8,4,0.3,0,0.0,"1,487"
41,Las Piedras,386,17.8,906,41.8,"1,292",59.7,858,39.6,15,0.7,0,0.0,"2,165"
42,Loíza,178,4.3,"1,776",43.1,"1,954",47.4,"2,097",50.8,73,1.8,0,0.0,"4,124"
43,Luquillo,76,5.0,718,47.2,794,52.2,710,46.7,16,1.1,0,0.0,"1,520"
44,Manatí,"2,061",32.5,988,15.6,"3,049",48.0,"3,273",51.6,23,0.4,1,0.0,"6,346"
45,Maricao,457,38.0,295,24.5,752,62.6,444,36.9,6,0.5,0,0.0,"1,202"
46,Maunabo,168,9.1,721,38.9,889,48.0,907,48.9,58,3.1,0,0.0,"1,854"
47,Mayagüez,"9,800",51.9,"1,284",6.8,"11,084",58.7,"7,635",40.4,171,0.9,0,0.0,"18,890"
48,Moca,"1,365",40.1,"1,020",30.0,"2,385",70.1,"1,008",29.6,7,0.2,1,0.0,"3,401"
49,Morovis,"1,971",48.9,186,4.6,"2,157",53.5,"1,868",46.3,9,0.2,0,0.0,"4,034"
50,Naguabo,333,8.5,"2,094",53.6,"2,427",62.1,"1,298",33.2,185,4.7,0,0.0,"3,910"
51,Naranjito,902,34.7,209,8.0,"1,111",42.8,"1,436",55.3,51,2.0,0,0.0,"2,598"
52,Orocovis,"2,713",77.3,167,4.8,"2,880",82.1,624,17.8,6,0.2,0,0.0,"3,510"
53,Patillas,168,5.9,"1,357",47.4,"1,525",53.3,"1,319",46.1,15,0.5,1,0.0,"2,860"
54,Peñuelas,"1,794",53.2,431,12.8,"2,225",65.9,"1,143",33.9,6,0.2,0,0.0,"3,374"
55,Ponce,"7,761",32.0,"4,718",19.5,"12,479",51.5,"11,313",46.7,436,1.8,0,0.0,"24,228"
56,Quebradillas,946,38.8,59,2.4,"1,005",41.2,"1,390",57.0,44,1.8,0,0.0,"2,439"
57,Rincón,167,12.6,413,31.2,580,43.8,732,55.2,13,1.0,0,0.0,"1,325"
58,Río Grande,170,5.4,"1,696",53.5,"1,866",58.8,"1,262",39.8,45,1.4,0,0.0,"3,173"
59,Río Piedras,"3,003",28.8,"1,930",18.5,"4,933",47.3,"5,247",50.4,232,2.2,7,0.1,"10,419"
60,Sabana Grande,"1,409",43.3,484,14.9,"1,893",58.2,"1,355",41.6,7,0.2,0,0.0,"3,255"
61,Salinas,577,13.8,"1,906",45.5,"2,483",59.3,"1,688",40.3,18,0.4,0,0.0,"4,189"
62,San Germán,"2,877",40.9,"1,260",17.9,"4,137",58.8,"2,859",40.6,41,0.6,2,0.0,"7,039"
63,San Juan,"13,144",38.3,"4,927",14.3,"18,071",52.6,"15,302",44.5,940,2.7,42,0.1,"34,355"
64,San Lorenzo,807,17.8,"1,224",27.0,"2,031",44.8,"2,438",53.8,65,1.4,1,0.0,"4,535"
65,San Sebastián,677,12.4,"1,694",31.0,"2,371",43.4,"3,093",56.6,3,0.1,0,0.0,"5,467"
66,Santa Isabel,617,23.5,747,28.4,"1,364",51.9,"1,258",47.9,6,0.2,0,0.0,"2,628"
67,Toa Alta,"1,082",39.4,500,18.2,"1,582",57.6,"1,158",42.2,5,0.2,0,0.0,"2,745"
68,Toa Baja,"1,549",58.8,354,13.4,"1,903",72.2,716,27.2,16,0.6,0,0.0,"2,635"
69,Trujillo Alto,593,32.7,17,0.9,610,33.7,"1,174",64.8,27,1.5,0,0.0,"1,811"
70,Utuado,"1,351",17.5,"2,821",36.6,"4,172",54.1,"3,315",43.0,223,2.9,0,0.0,"7,712"
71,Vega Alta,118,4.2,"1,231",43.9,"1,349",48.1,"1,441",51.4,14,0.5,0,0.0,"2,804"
72,Vega Baja,437,8.4,"2,116",40.6,"2,553",49.0,"2,640",50.7,14,0.3,0,0.0,"5,207"
73,Vieques,136,5.5,938,38.0,"1,074",43.5,"1,383",56.0,13,0.5,0,0.0,"2,470"
74,Villalba,"1,082",44.7,326,13.5,"1,408",58.2,"1,002",41.4,10,0.4,0,0.0,"2,420"
75,Yabucoa,243,5.2,"2,204",47.1,"2,447",52.3,"2,044",43.7,184,3.9,0,0.0,"4,675"
76,Yauco,"3,550",45.2,"1,263",16.1,"4,813",61.3,"3,012",38.4,27,0.3,0,0.0,"7,852"
77,"Total,Puerto Rico","110,794",28.9,"97,438",25.4,"208,232",54.3,"170,168",44.3,"5,257",1.4,65,0.0,"383,722"
