,municipios,votos_P_P_D,pct_P_P_D,votos_P_N_P,pct_P_N_P,votos_P_I_P,pct_P_I_P,votos_P_R_P,pct_P_R_P,total
48,Maunabo,"3,149",47.6,"3,030",45.8,347,5.2,95,1.4,"6,621"
49,Mayagüez,"26,223",52.8,"20,586",41.5,"1,864",3.8,987,2.0,"49,660"
50,Moca,"7,759",47.7,"8,001",49.2,302,1.9,190,1.2,"16,252"
51,Morovis,"6,854",53.9,"5,454",42.9,290,2.3,118,0.9,"12,716"
52,Naguabo,"5,923",51.2,"5,071",43.9,159,1.4,407,3.5,"11,560"
53,Naranjito,"8,552",59.2,"5,321",36.8,468,3.2,109,0.8,"14,450"
54,Orocovis,"5,692",47.1,"6,087",50.3,239,2.0,77,0.6,"12,095"
55,Patillas,"5,128",50.3,"4,492",44.1,403,4.0,162,1.6,"10,185"
56,Peñuelas,"5,649",53.3,"4,140",39.0,603,5.7,211,2.0,"10,603"
57,Ponce,"38,864",46.4,"37,817",45.2,"3,621",4.3,"3,411",4.1,"83,713"
58,Quebradillas,"5,628",51.4,"4,762",43.5,379,3.5,181,1.7,"10,950"
59,Rincón,"4,013",58.9,"2,548",37.4,106,1.6,152,2.2,"6,819"
60,Río Grande,"8,723",47.3,"8,684",47.0,629,3.4,424,2.3,"18,460"
61,Sabana Grande,"7,366",63.6,"3,796",32.8,249,2.2,164,1.4,"11,575"
62,Salinas,"8,148",60.2,"4,678",34.6,347,2.6,355,2.6,"13,528"
63,San Germán,"9,535",53.2,"7,450",41.6,533,3.0,400,2.2,"17,918"
64,San Juan,"93,660",43.6,"102,540",47.7,"10,879",5.1,"7,832",3.6,"214,911"
65,San Lorenzo,"8,734",46.3,"9,394",49.8,451,2.4,280,1.5,"18,859"
66,San Sebastián,"10,442",53.3,"7,874",40.2,"1,011",5.2,262,1.3,"19,589"
67,Santa Isabel,"5,172",52.2,"4,275",43.1,301,3.0,168,1.7,"9,916"
68,Toa Alta,"7,977",48.5,"7,544",45.9,629,3.8,284,1.7,"16,434"
69,Toa Baja,"17,977",47.6,"17,083",45.3,"1,725",4.6,961,2.5,"37,746"
70,Trujillo Alto,"12,046",47.4,"11,282",44.4,"1,379",5.4,713,2.8,"25,420"
71,Utuado,"9,162",48.1,"9,223",48.4,472,2.5,191,1.0,"19,048"
72,Vega Alta,"8,205",51.2,"7,012",43.8,553,3.5,241,1.5,"16,011"
73,Vega Baja,"13,023",49.5,"11,756",44.7,984,3.7,548,2.1,"26,311"
74,Vieques,"2,156",45.9,"2,162",46.0,291,6.2,93,2.0,"4,702"
75,Villalba,"5,443",47.0,"5,733",49.5,218,1.9,192,1.7,"11,586"
76,Yabucoa,"9,571",51.9,"8,152",44.2,490,2.7,244,1.3,"18,457"
77,Yauco,"10,752",51.1,"9,074",43.1,759,3.6,470,2.2,"21,055"
78,Registro Federal,258,34.7,342,46.0,25,3.4,118,15.9,743
79,"Total,Puerto Rico","827,380",48.7,"769,951",45.3,"64,001",3.8,"39,319",2.3,"1,700,651"
