,municipios,votos_P_P_D,pct_P_P_D,votos_P_N_P,pct_P_N_P,votos_P_I_P,pct_P_I_P,votos_Otros,pct_Otros,votos_Blanco,pct_Blanco,votos_Nulo,pct_Nulo,total
61,Sabana Grande,"8,800",59.8,"5,308",36.1,535,3.6,6,0.0,28,0.2,27,0.2,"14,704"
62,Salinas,"8,424",52.6,"6,888",43.0,628,3.9,3,0.0,34,0.2,41,0.3,"16,018"
63,San Germán,"10,983",52.3,"8,842",42.1,"1,027",4.9,13,0.1,62,0.3,68,0.3,"20,995"
64,San Juan,"102,790",49.0,"93,972",44.8,"12,041",5.7,85,0.0,306,0.1,476,0.2,"209,670"
65,San Lorenzo,"10,714",47.7,"10,827",48.3,787,3.5,6,0.0,41,0.2,64,0.3,"22,439"
66,San Sebastián,"13,141",49.9,"11,601",44.1,"1,396",5.3,4,0.0,97,0.4,80,0.3,"26,319"
67,Santa Isabel,"5,871",50.7,"5,216",45.1,446,3.9,3,0.0,17,0.1,23,0.2,"11,576"
68,Toa Alta,"14,031",49.4,"12,811",45.1,"1,444",5.1,6,0.0,59,0.2,61,0.2,"28,412"
69,Toa Baja,"22,041",49.0,"20,096",44.7,"2,623",5.8,6,0.0,89,0.2,107,0.2,"44,962"
70,Trujillo Alto,"18,829",51.5,"15,307",41.9,"2,251",6.2,8,0.0,56,0.2,80,0.2,"36,531"
71,Utuado,"10,027",47.7,"10,279",48.9,624,3.0,4,0.0,42,0.2,46,0.2,"21,022"
72,Vega Alta,"10,276",50.9,"8,991",44.5,840,4.2,5,0.0,49,0.2,37,0.2,"20,198"
73,Vega Baja,"16,513",51.6,"13,886",43.4,"1,478",4.6,9,0.0,51,0.2,90,0.3,"32,027"
74,Vieques,"3,073",57.0,"1,760",32.7,511,9.5,2,0.0,17,0.3,27,0.5,"5,390"
75,Villalba,"6,806",46.0,"7,507",50.7,395,2.7,1,0.0,65,0.4,21,0.1,"14,795"
76,Yabucoa,"11,005",48.4,"10,819",47.6,798,3.5,1,0.0,41,0.2,56,0.2,"22,720"
77,Yauco,"12,341",50.5,"10,789",44.1,"1,174",4.8,6,0.0,62,0.3,67,0.3,"24,439"
78,"Total,Puerto Rico","983,488",49.3,"905,690",45.4,"95,067",4.8,571,0.0,"4,103",0.2,"4,564",0.2,"1,993,483"
