,municipios,votos_Partido_Unión_Republicana,pct_Partido_Unión_Republicana,votos_Partido_Socialista,pct_Partido_Socialista,votos_Total_Combinado,pct_Total_Combinado,votos_Partido_Popular_Democrático,pct_Partido_Popular_Democrático,votos_Unificación_Puertorriqueña_Tripartita,pct_Unificación_Puertorriqueña_Tripartita,votos_Partido_Agrícola_Purode _Puerto_Rico,pct_Partido_Agrícola_Purode _Puerto_Rico,votos_Total_Combinado,pct_Total_Combinado,total
18,Ciales,"2,127",31.8,432,6.5,"2,559",38.3,"3,566",53.3,556,8.3,7,0.1,563,8.4,"6,688"
19,Cidra,916,21.0,251,5.8,"1,167",26.8,"1,746",40.1,"1,432",32.9,9,0.2,"1,441",33.1,"4,354"
20,Coamo,"2,810",40.3,403,5.8,"3,213",46.1,"3,618",51.9,117,1.7,26,0.4,143,2.1,"6,974"
21,Comerío,406,7.4,534,9.7,940,17.1,"3,293",59.8,"1,262",22.9,12,0.2,"1,274",23.1,"5,507"
22,Corozal,"2,493",41.6,365,6.1,"2,858",47.7,"2,437",40.7,688,11.5,4,0.1,692,11.6,"5,987"
23,Culebra,62,18.7,106,32.0,168,50.8,3,0.9,157,47.4,3,0.9,160,48.3,331
24,Dorado,"1,487",51.0,155,5.3,"1,642",56.3,776,26.6,490,16.8,6,0.2,496,17.0,"2,914"
25,Fajardo,434,5.9,"3,188",43.5,"3,622",49.4,"1,558",21.3,"2,138",29.2,9,0.1,"2,147",29.3,"7,327"
26,Guánica,"1,473",33.3,119,2.7,"1,592",36.0,"2,614",59.0,206,4.7,16,0.4,222,5.0,"4,428"
27,Guayama,"1,191",10.7,"1,426",12.8,"2,617",23.5,"5,472",49.1,"3,034",27.2,18,0.2,"3,052",27.4,"11,141"
28,Guayanilla,"1,408",20.6,437,6.4,"1,845",27.0,"1,927",28.3,"3,040",44.6,9,0.1,"3,049",44.7,"6,821"
29,Guaynabo,"2,023",44.1,356,7.8,"2,379",51.8,290,6.3,"1,918",41.8,5,0.1,"1,923",41.9,"4,592"
30,Gurabo,616,12.4,"1,002",20.1,"1,618",32.5,944,19.0,"2,409",48.4,6,0.1,"2,415",48.5,"4,977"
31,Hatillo,731,12.7,"1,510",26.3,"2,241",39.0,"1,463",25.5,"2,034",35.4,5,0.1,"2,039",35.5,"5,743"
32,Hormigueros,151,6.1,"1,039",42.0,"1,190",48.2,359,14.5,904,36.6,18,0.7,922,37.3,"2,471"
33,Humacao,928,9.4,"1,634",16.5,"2,562",25.9,"3,347",33.8,"3,961",40.0,29,0.3,"3,990",40.3,"9,899"
34,Isabela,"3,416",49.1,732,10.5,"4,148",59.6,"2,308",33.2,482,6.9,18,0.3,500,7.2,"6,956"
35,Jayuya,704,16.0,"1,094",24.9,"1,798",40.9,"2,254",51.3,332,7.6,7,0.2,339,7.7,"4,391"
36,Juana Díaz,"2,469",30.9,"1,808",22.6,"4,277",53.5,"3,503",43.8,205,2.6,6,0.1,211,2.6,"7,991"
37,Juncos,571,7.9,"2,525",34.8,"3,096",42.6,"1,872",25.8,"2,290",31.5,7,0.1,"2,297",31.6,"7,265"
38,Lajas,"1,128",23.5,904,18.8,"2,032",42.3,"1,636",34.0,"1,113",23.1,28,0.6,"1,141",23.7,"4,809"
39,Lares,"2,229",26.7,"1,326",15.9,"3,555",42.5,"2,130",25.5,"2,665",31.9,12,0.1,"2,677",32.0,"8,362"
40,Las Marías,319,15.1,630,29.8,949,44.9,747,35.4,408,19.3,8,0.4,416,19.7,"2,112"
41,Las Piedras,487,12.3,748,18.9,"1,235",31.2,"1,332",33.6,"1,393",35.1,4,0.1,"1,397",35.2,"3,964"
42,Loíza,410,6.6,"2,203",35.5,"2,613",42.1,"2,343",37.8,"1,231",19.8,15,0.2,"1,246",20.1,"6,202"
43,Luquillo,103,3.8,965,35.8,"1,068",39.6,"1,229",45.6,389,14.4,8,0.3,397,14.7,"2,694"
44,Manatí,"4,197",40.7,991,9.6,"5,188",50.3,"4,830",46.8,291,2.8,11,0.1,302,2.9,"10,320"
45,Maricao,319,14.4,287,12.9,606,27.3,"1,145",51.6,464,20.9,4,0.2,468,21.1,"2,219"
46,Maunabo,184,5.8,664,21.0,848,26.9,"1,435",45.5,864,27.4,9,0.3,873,27.7,"3,156"
47,Mayagüez,"7,987",30.4,903,3.4,"8,890",33.9,"12,178",46.4,"5,088",19.4,77,0.3,"5,165",19.7,"26,233"
48,Moca,989,19.8,"1,819",36.4,"2,808",56.1,901,18.0,"1,271",25.4,21,0.4,"1,292",25.8,"5,001"
49,Morovis,"3,228",52.0,250,4.0,"3,478",56.0,"2,486",40.0,242,3.9,5,0.1,247,4.0,"6,211"
50,Naguabo,666,12.0,"1,968",35.4,"2,634",47.4,"2,452",44.1,461,8.3,8,0.1,469,8.4,"5,555"
51,Naranjito,"1,254",27.7,397,8.8,"1,651",36.5,"1,939",42.9,923,20.4,8,0.2,931,20.6,"4,521"
52,Orocovis,"2,585",55.4,171,3.7,"2,756",59.0,"1,718",36.8,182,3.9,14,0.3,196,4.2,"4,670"
53,Patillas,229,4.4,"1,733",33.3,"1,962",37.7,"2,514",48.3,712,13.7,15,0.3,727,14.0,"5,203"
54,Peñuelas,"2,467",45.1,337,6.2,"2,804",51.3,"1,938",35.4,713,13.0,15,0.3,728,13.3,"5,470"
55,Ponce,"9,067",28.9,"3,041",9.7,"12,108",38.6,"16,960",54.1,"2,239",7.1,61,0.2,"2,300",7.3,"31,368"
56,Quebradillas,"1,137",29.1,303,7.8,"1,440",36.9,673,17.2,"1,779",45.6,12,0.3,"1,791",45.9,"3,904"
57,Rincón,267,10.2,816,31.1,"1,083",41.3,351,13.4,"1,183",45.1,6,0.2,"1,189",45.3,"2,623"
58,Río Grande,642,13.1,"1,271",25.9,"1,913",39.0,"2,420",49.3,566,11.5,8,0.2,574,11.7,"4,907"
59,Río Piedras,"4,837",31.0,"1,701",10.9,"6,538",41.9,"4,216",27.0,"4,836",31.0,27,0.2,"4,863",31.1,"15,617"
60,Sabana Grande,"1,554",29.1,791,14.8,"2,345",43.9,"1,834",34.3,"1,151",21.5,15,0.3,"1,166",21.8,"5,345"
61,Salinas,"1,182",17.7,834,12.5,"2,016",30.2,"3,659",54.8,985,14.8,13,0.2,998,15.0,"6,673"
62,San Germán,"2,091",21.8,953,9.9,"3,044",31.7,"4,095",42.7,"2,405",25.1,49,0.5,"2,454",25.6,"9,593"
63,San Juan,"15,476",31.5,"3,745",7.6,"19,221",39.2,"11,309",23.0,"18,411",37.5,141,0.3,"18,552",37.8,"49,082"
64,San Lorenzo,"1,247",16.4,"1,946",25.6,"3,193",42.0,860,11.3,"3,529",46.4,17,0.2,"3,546",46.7,"7,599"
65,San Sebastián,"1,205",14.4,"2,436",29.2,"3,641",43.6,"3,309",39.6,"1,382",16.6,17,0.2,"1,399",16.8,"8,349"
66,Santa Isabel,867,20.3,235,5.5,"1,102",25.7,"1,460",34.1,"1,714",40.0,4,0.1,"1,718",40.1,"4,280"
67,Toa Alta,"1,621",34.8,209,4.5,"1,830",39.3,"1,881",40.3,945,20.3,6,0.1,951,20.4,"4,662"
68,Toa Baja,"1,713",44.9,383,10.0,"2,096",54.9,"1,274",33.4,439,11.5,10,0.3,449,11.8,"3,819"
69,Trujillo Alto,"1,162",34.8,74,2.2,"1,236",37.0,845,25.3,"1,254",37.5,5,0.1,"1,259",37.7,"3,340"
70,Utuado,"1,047",10.0,859,8.2,"1,906",18.1,"4,408",42.0,"4,175",39.7,16,0.2,"4,191",39.9,"10,505"
71,Vega Alta,438,9.3,"1,898",40.3,"2,336",49.6,"1,966",41.8,396,8.4,7,0.1,403,8.6,"4,705"
72,Vega Baja,541,6.9,"2,897",36.8,"3,438",43.7,"3,662",46.5,758,9.6,18,0.2,776,9.9,"7,876"
73,Vieques,271,7.1,"1,432",37.4,"1,703",44.5,598,15.6,"1,519",39.7,4,0.1,"1,523",39.8,"3,824"
74,Villalba,"1,190",33.2,369,10.3,"1,559",43.5,"1,970",54.9,39,1.1,18,0.5,57,1.6,"3,586"
75,Yabucoa,92,1.2,"2,862",37.7,"2,954",38.9,"4,293",56.5,326,4.3,20,0.3,346,4.6,"7,593"
76,Yauco,"4,370",39.5,"1,563",14.1,"5,933",53.7,"4,221",38.2,876,7.9,21,0.2,897,8.1,"11,051"
77,"Total,Puerto Rico","134,582",23.7,"87,841",15.4,"222,423",39.1,"214,857",37.8,"130,299",22.9,"1,272",0.2,"131,571",23.1,"568,851"
